"country","countryiso3","SH.MED.BEDS.ZS_2013","SH.MED.BEDS.ZS_2014","SH.MED.BEDS.ZS_2015"
"Iran, Islamic Rep.","IRN",1.5,1.5,NA
"Iraq","IRQ",1.3,1.4,NA
"Ireland","IRL",2.8,NA,NA
"Isle of Man","IMN",NA,NA,NA
"Israel","ISR",3.1,NA,NA
"Italy","ITA",NA,NA,NA
"Jamaica","JAM",1.7,NA,NA
"Japan","JPN",NA,NA,NA
"Jordan","JOR",1.8,1.9,1.4
"Kazakhstan","KAZ",6.7,NA,NA
"Kenya","KEN",NA,NA,NA
"Kiribati","KIR",NA,NA,1.9
"Korea, Dem. People’s Rep.","PRK",NA,NA,NA
"Korea, Rep.","KOR",NA,NA,11.5
"Kuwait","KWT",2.2,2,NA
"Kyrgyz Republic","KGZ",4.5,NA,NA
"Lao PDR","LAO",NA,NA,NA
"Late-demographic dividend","LTE",NA,NA,NA
"Latin America & Caribbean","LCN",2.13931163133949,2.17552044810434,NA
"Latin America & Caribbean (excluding high income)","LAC",2.12930928378679,2.16516032319828,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2.07488509973306,2.09185793414075,NA
"Latvia","LVA",5.8,NA,NA
"Least developed countries: UN classification","LDC",NA,NA,NA
"Lebanon","LBN",2.9,2.9,NA
"Lesotho","LSO",NA,NA,NA
"Liberia","LBR",NA,NA,NA
"Libya","LBY",3.7,3.7,NA
"Lithuania","LTU",7.3,NA,NA
"Low & middle income","LMY",NA,NA,NA
"Low income","LIC",NA,NA,NA
"Lower middle income","LMC",NA,NA,NA
"Luxembourg","LUX",5.1,4.9,4.8
"Macao SAR, China","MAC",NA,NA,NA
"Madagascar","MDG",NA,NA,NA
"Malawi","MWI",NA,NA,NA
"Malaysia","MYS",NA,NA,1.9
"Maldives","MDV",NA,NA,NA
"Mali","MLI",NA,NA,NA
"Malta","MLT",4.8,4.7,NA
"Marshall Islands","MHL",NA,NA,NA
"Mauritania","MRT",NA,NA,NA
"Mauritius","MUS",NA,NA,NA
"Mexico","MEX",1.6,NA,1.5
"Micronesia, Fed. Sts.","FSM",NA,NA,NA
"Middle East & North Africa","MEA",1.31563228373799,1.62848507014646,NA
"Middle East & North Africa (excluding high income)","MNA",1.16300785053231,1.51669671692738,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",1.16300785053231,1.51669671692738,NA
"Middle income","MIC",NA,NA,NA
"Moldova","MDA",5.8,NA,NA
"Monaco","MCO",NA,NA,NA
"Mongolia","MNG",NA,NA,NA
"Montenegro","MNE",NA,NA,NA
"Morocco","MAR",0.9,1.1,NA
"Mozambique","MOZ",NA,NA,NA
"Myanmar","MMR",NA,NA,NA
"Namibia","NAM",NA,NA,NA
"Nauru","NRU",NA,NA,NA
"Nepal","NPL",NA,NA,NA
"Netherlands","NLD",NA,NA,NA
"New Zealand","NZL",2.8,NA,NA
"Nicaragua","NIC",0.9,0.9,NA
"Niger","NER",NA,NA,0.3
"Nigeria","NGA",NA,NA,NA
"North America","NAC",2.9,NA,NA
"North Macedonia","MKD",4.4,NA,NA
"Norway","NOR",3.9,NA,NA
"OECD members","OED",3.70524087483816,NA,NA
"Oman","OMN",1.7,1.6,NA
"Pacific island small states","PSS",NA,NA,NA
"Pakistan","PAK",0.6,0.6,NA
"Palau","PLW",NA,NA,NA
"Panama","PAN",2.3,NA,NA
"Papua New Guinea","PNG",NA,NA,NA
"Paraguay","PRY",NA,NA,NA
"Peru","PER",1.5,1.6,NA
"Philippines","PHL",NA,NA,NA
"Poland","POL",6.5,NA,NA
"Portugal","PRT",3.4,NA,NA
"Post-demographic dividend","PST",4.60735776535194,NA,NA
"Pre-demographic dividend","PRE",NA,NA,NA
"Puerto Rico","PRI",NA,NA,NA
"Qatar","QAT",1.4,1.2,NA
"Romania","ROU",6.3,NA,NA
"Russian Federation","RUS",8.2,NA,NA
"Rwanda","RWA",NA,NA,NA
"Samoa","WSM",NA,NA,NA
"San Marino","SMR",NA,NA,NA
"Sao Tome and Principe","STP",NA,NA,NA
"Saudi Arabia","SAU",2.2,2.7,NA
"Senegal","SEN",NA,NA,NA
"Serbia","SRB",NA,NA,NA
"Seychelles","SYC",NA,NA,NA
"Sierra Leone","SLE",NA,NA,NA
"Singapore","SGP",2.1,NA,2.4
"Slovak Republic","SVK",5.8,NA,5.8
"Slovenia","SVN",4.6,NA,NA
"Small states","SST",NA,NA,NA
"Solomon Islands","SLB",NA,NA,NA
"Somalia","SOM",0.9,0.9,NA
"South Africa","ZAF",NA,NA,NA
"South Asia","SAS",NA,NA,NA
"South Asia (IDA & IBRD)","TSA",NA,NA,NA
"Spain","ESP",3,NA,NA
"Sri Lanka","LKA",NA,NA,NA
"St. Kitts and Nevis","KNA",NA,NA,NA
"St. Lucia","LCA",1.3,NA,NA
"St. Vincent and the Grenadines","VCT",2.5,2.6,NA
"Sub-Saharan Africa","SSF",NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",NA,NA,NA
"Sudan","SDN",0.8,NA,NA
"Suriname","SUR",NA,NA,NA
"Sweden","SWE",2.6,NA,NA
"Switzerland","CHE",4.7,NA,NA
"Syrian Arab Republic","SYR",1.5,1.5,NA
"Tajikistan","TJK",4.8,NA,NA
"Tanzania","TZA",NA,NA,NA
"Thailand","THA",NA,NA,NA
"Timor-Leste","TLS",NA,NA,NA
"Togo","TGO",NA,NA,NA
"Tonga","TON",NA,NA,NA
"Trinidad and Tobago","TTO",2.7,3,NA
"Tunisia","TUN",2.1,2.2,2.3
"Turkey","TUR",2.7,NA,NA
"Turkmenistan","TKM",7.4,NA,NA
"Tuvalu","TUV",NA,NA,NA
"Uganda","UGA",NA,NA,NA
"Ukraine","UKR",8.8,NA,NA
"United Arab Emirates","ARE",1.2,NA,NA
"United Kingdom","GBR",2.8,NA,NA
"United States","USA",2.9,NA,NA
"Upper middle income","UMC",NA,NA,NA
"Uruguay","URY",2.5,2.8,NA
"Uzbekistan","UZB",4,NA,NA
"Vanuatu","VUT",NA,NA,NA
"Venezuela, RB","VEN",NA,0.8,NA
"Vietnam","VNM",NA,2.6,NA
"Virgin Islands (U.S.)","VIR",NA,NA,NA
"West Bank and Gaza","PSE",NA,NA,NA
"World","WLD",NA,NA,NA
"Yemen, Rep.","YEM",0.7,0.7,NA
"Zambia","ZMB",NA,NA,NA
"Zimbabwe","ZWE",NA,NA,NA
