"country","countryiso3","value_adult_literacy_rate.28134_2015","value_adult_literacy_rate.28134_2016","value_adult_literacy_rate.28134_2017","value_adult_literacy_rate.28134_2018"
"Uzbekistan","UZB",0.99984,0.99984,NA,0.99986
"St. Vincent and the Grenadines","VCT",NA,NA,NA,NA
"Venezuela, RB","VEN",0.99906,1.0018,NA,NA
"Vietnam","VNM",0.964330017566681,NA,NA,0.97035
"Vanuatu","VUT",0.967899978160858,NA,NA,0.98188
"Samoa","WSM",1.00215995311737,NA,NA,1.00292
"Yemen, Rep.","YEM",0.645500004291534,NA,NA,NA
"South Africa","ZAF",0.97916,NA,0.9861,NA
"Zambia","ZMB",0.897700011730194,NA,NA,0.91702
"Zimbabwe","ZWE",0.963150024414063,NA,NA,NA
