"country","countryiso3","latest.year_NY.GDP.PCAP.CD","latest.value_NY.GDP.PCAP.CD"
"Least developed countries: UN classification","LDC",2018,1054.4514989109
"Lebanon","LBN",2018,8269.78767551923
"Lesotho","LSO",2018,1299.15312598733
"Liberia","LBR",2018,677.322178545364
"Libya","LBY",2018,7241.70448113024
"Liechtenstein","LIE",2016,165028.245029187
"Lithuania","LTU",2018,19153.4089860651
"Low & middle income","LMY",2018,4971.24220833193
"Low income","LIC",2018,833.875876051462
"Lower middle income","LMC",2018,2217.09392828766
"Luxembourg","LUX",2018,116639.88804711
"Macao SAR, China","MAC",2018,87208.535912643
"Madagascar","MDG",2018,527.501285041282
"Malawi","MWI",2018,389.398033178836
"Malaysia","MYS",2018,11373.2330025676
"Maldives","MDV",2018,10330.615614094
"Mali","MLI",2018,899.659908096615
"Malta","MLT",2018,30098.2833099975
"Marshall Islands","MHL",2018,3788.16359372058
"Mauritania","MRT",2018,1188.83458753973
"Mauritius","MUS",2018,11238.6903948961
"Mexico","MEX",2018,9673.44367360619
"Micronesia, Fed. Sts.","FSM",2018,3568.29082936098
"Middle East & North Africa","MEA",2018,8042.8494647245
"Middle East & North Africa (excluding high income)","MNA",2017,3823.21794687243
"Middle East & North Africa (IDA & IBRD countries)","TMN",2017,3829.43422629961
"Middle income","MIC",2018,5485.57381480681
"Moldova","MDA",2018,3227.3121916043
"Monaco","MCO",2018,185741.279991587
"Mongolia","MNG",2018,4121.73243469391
"Montenegro","MNE",2018,8844.23698538056
"Morocco","MAR",2018,3222.20063433213
"Mozambique","MOZ",2018,498.957220208652
"Myanmar","MMR",2018,1325.9529237064
"Namibia","NAM",2018,5931.45388611617
"Nauru","NRU",2018,9888.89359652993
"Nepal","NPL",2018,1033.91243082634
"Netherlands","NLD",2018,53024.0592130531
"New Caledonia","NCL",NA,NA
"New Zealand","NZL",2018,41945.3316690932
"Nicaragua","NIC",2018,2028.89475539369
"Niger","NER",2018,413.980304962089
"Nigeria","NGA",2018,2028.18197017598
"North America","NAC",2018,61117.0483726436
"North Macedonia","MKD",2018,6083.71894832148
"Northern Mariana Islands","MNP",2018,23258.6758552794
"Norway","NOR",2018,81697.2459836768
"OECD members","OED",2018,40410.4547316493
"Oman","OMN",2018,16415.1572780989
"Other small states","OSS",2018,14704.8329329937
"Pacific island small states","PSS",2018,4224.52989029586
"Pakistan","PAK",2018,1482.40306306798
"Palau","PLW",2018,15859.4348578768
"Panama","PAN",2018,15575.0725482915
"Papua New Guinea","PNG",2018,2730.27479935873
"Paraguay","PRY",2018,5821.81432292324
"Peru","PER",2018,6941.23584763012
"Philippines","PHL",2018,3102.71336329931
"Poland","POL",2018,15420.9111634295
"Portugal","PRT",2018,23407.9065887968
"Post-demographic dividend","PST",2018,45126.4977785641
"Pre-demographic dividend","PRE",2018,1437.28936962287
"Puerto Rico","PRI",2018,31651.3481514031
"Qatar","QAT",2018,68793.7844372614
"Romania","ROU",2018,12301.1864034302
"Russian Federation","RUS",2018,11288.8784475021
"Rwanda","RWA",2018,772.944459929187
"Samoa","WSM",2018,4183.40793504696
"San Marino","SMR",2017,48494.5514112427
"Sao Tome and Principe","STP",2018,2001.14090226164
"Saudi Arabia","SAU",2018,23338.9634580718
"Senegal","SEN",2018,1521.95355421391
"Serbia","SRB",2018,7246.73165586437
"Seychelles","SYC",2018,16433.9352865158
"Sierra Leone","SLE",2018,533.991184258936
"Singapore","SGP",2018,64581.9440183954
"Slovak Republic","SVK",2018,19442.7057620693
"Slovenia","SVN",2018,26123.9738694646
"Small states","SST",2018,13213.6130975252
"Solomon Islands","SLB",2018,2137.69069539357
"Somalia","SOM",2018,314.544165670763
"South Africa","ZAF",2018,6374.02819575944
"South Asia","SAS",2018,1902.8026286069
"South Asia (IDA & IBRD)","TSA",2018,1902.8026286069
"South Sudan","SSD",2015,1119.65133182314
"Spain","ESP",2018,30370.8923252247
"Sri Lanka","LKA",2018,4102.48135014467
"St. Kitts and Nevis","KNA",2018,19275.4185126566
"St. Lucia","LCA",2018,10566.0497458462
"St. Vincent and the Grenadines","VCT",2018,7361.4009618002
"Sub-Saharan Africa","SSF",2018,1585.77214781685
"Sub-Saharan Africa (excluding high income)","SSA",2018,1584.43823372274
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,1585.77214781685
"Sudan","SDN",2018,977.273635724417
"Suriname","SUR",2018,6234.04492230646
"Sweden","SWE",2018,54608.3602546906
"Switzerland","CHE",2018,82796.5471631285
"Syrian Arab Republic","SYR",NA,NA
"Tajikistan","TJK",2018,826.621530538704
"Tanzania","TZA",2018,1060.99461489421
"Thailand","THA",2018,7273.56320732092
"Timor-Leste","TLS",2018,2035.53390768881
"Togo","TGO",2018,679.257083602874
"Tonga","TON",2018,4364.01556134949
"Trinidad and Tobago","TTO",2018,17129.9130902577
"Tunisia","TUN",2018,3447.50790975551
"Turkey","TUR",2018,9370.1763438282
"Turkmenistan","TKM",2018,6966.63541063077
"Turks and Caicos Islands","TCA",2018,27142.2277976902
"Tuvalu","TUV",2018,3700.71067713471
"Uganda","UGA",2018,642.776744292007
"Ukraine","UKR",2018,3095.17358053586
"United Arab Emirates","ARE",2018,43004.9533584848
"United Kingdom","GBR",2018,42943.9022698053
"United States","USA",2018,62794.5856522398
"Upper middle income","UMC",2018,9205.37873960243
"Uruguay","URY",2018,17277.9701105496
"Uzbekistan","UZB",2018,1532.37167679684
"Vanuatu","VUT",2018,3123.89339649956
"Venezuela, RB","VEN",2014,16054.4905130962
"Vietnam","VNM",2018,2566.59694958511
"Virgin Islands (U.S.)","VIR",2017,35938.0243875154
"West Bank and Gaza","PSE",2018,3198.86664447405
"World","WLD",2018,11312.5551003357
"Yemen, Rep.","YEM",2018,944.408499373419
"Zambia","ZMB",2018,1539.90015779907
"Zimbabwe","ZWE",2018,2146.99638487707
