"variable","description"
"score_recognition_of_occu.31524","Score Recognition of occupational safety"
"score_redeployment_and_re.31525","Score Redeployment and retraining mechanisms for employees"
"score_redistribution_mech.31526","Score Redistribution mechanisms: disadvantaged areas"
"score_redistribution_mech.31527","Score Redistribution mechanisms: poorer section of the population"
"score_relationship_betwee.31546","Score Relationship between firms and universitiesresearch institutes"
"score_reliability:_state_.31548","Score Reliability: State accounts"
"score_reliability:_state_.31549","Score Reliability: State budget"
"score_reliability:_stateo.31551","Score Reliability: Stateowned banks accounts"
"score_reliability:_stateo.31552","Score Reliability: Stateowned firms accounts"
"score_reliability:_econom.31553","Score Reliability: economic and financial statistics"
"score_reluctance_to_hire_.31557","Score Reluctance to hire higher university graduates"
"score_representative_inst.31558","Score Representative Institutions"
"score_resistance_to_finan.31560","Score Resistance to financial liberalisation: private companies"
"score_resistance_to_finan.31561","Score Resistance to financial liberalisation: public services"
"score_resistance_to_trade.31563","Score Resistance to trade liberalization: lobby groups"
"score_balance_of_the_acco.31573","Score Balance of the accounts of Stateowned and partly Stateowned firms"
"score_respect_for_the_rig.31576","Score Respect for the rights of minorities"
"score_restructuring_proce.31579","Score Restructuring procedures"
"score_revenues_from_the_e.31581","Score Revenues from the exploitation of natural resources: longterm investment"
"score_revenues_from_the_e.31582","Score Revenues from the exploitation of natural resources: transparency"
"score_right_to_strike_in_.31586","Score Right to strike in the private sector"
"score_right_to_strike_in_.31587","Score Right to strike in the public sector and the civil service"
"score_role_of_networks_in.31594","Score Role of networks in recruitment and promotion in the administration"
"score_role_of_networks_in.31595","Score Role of networks in recruitment and promotion in the private sector"
"score_role_of_networks_in.31597","Score Role of networks in recruitment and promotion of senior officials"
"score_role_of_networks:_s.31598","Score Role of networks: selection of business leaders"
"score_role_of_networks:_s.31599","Score Role of networks: selection of senior officials"
"score_role_of_networks:_s.31600","Score Role of networks: selection of senior politicians"
"score_ability_to_reform:_.31605","Score Ability to reform: environmental protection"
"score_banking_prudential_.31606","Score Banking prudential rules: asset coverage"
"score_scale_of_strike_mov.31610","Score Scale of strike movements: private sector"
"score_scale_of_strike_mov.31611","Score Scale of strike movements: public sector"
"score_security_across_the.31614","Score Security across the territory"
"score_security_of_persons.31616","Score Security of persons and goods"
"score_banking_prudential_.31617","Score Banking prudential rules: concentration of loans"
"score_sense_of_national_i.31629","Score Sense of national identity"
"score_banking_prudential_.31630","Score Banking prudential rules: external exposure"
"score_share_of_stateowned.31632","Score Share of Stateowned banks"
"score_share_of_administer.31633","Score Share of administered prices"
"score_banking_prudential_.31641","Score Banking prudential rules: sectoral concentration of loans"
"score_significance_of_inf.31656","Score Significance of informal work in rural areas"
"score_significance_of_inf.31657","Score Significance of informal work in urban areas"
"score_skills_level_of_ban.31661","Score Skills level of bank executives"
"score_social_dialogue_eff.31665","Score Social dialogue effectiveness at branch level"
"score_social_dialogue_eff.31666","Score Social dialogue effectiveness at national level"
"score_social_dialogue_eff.31667","Score Social dialogue effectiveness within companies"
"score_societys_capacity_f.31680","Score Societys capacity for legal and institutional adaptation and innovation"
"score_societys_capacity_f.31681","Score Societys capacity for managerial adaptation and innovation"
"score_societys_capacity_t.31682","Score Societys capacity technological adaptation and innovation"
"score_sovereign_wealth_fu.31688","Score Sovereign wealth fund (national)"
"score_standard_accounting.31692","Score Standard accounting system  (SMEs)"
"score_standardised_accoun.31694","Score Standardised accounting system"
"score_standardised_accoun.31695","Score Standardised accounting system: large companies"
"score_states_arbitrary_vi.31704","Score States arbitrary violence"
"score_strategic_vision:_t.31705","Score Strategic Vision: territorialurban planning"
"score_strategic_vision:_c.31706","Score Strategic vision: capacity to encourage"
"score_strategic_vision:_h.31707","Score Strategic vision: human capital"
"score_strategic_vision:_i.31709","Score Strategic vision: internationalregional integration"
"score_strategic_vision:_p.31710","Score Strategic vision: protection of the environment"
"score_strategic_vision:_s.31711","Score Strategic vision: shared by society as a whole"
"score_strengthening_of_th.31714","Score Strengthening of the prudential rules in the banking system"
"score_strengthening_of_th.31715","Score Strengthening of the supervision of the financial system"
"score_strengthening_of_th.31716","Score Strengthening of the systems providing information about the position of banks"
"score_ability_to_reform:_.31719","Score Ability to reform: health and education"
"score_subcontracting:_bet.31721","Score Subcontracting: between SMEs"
"score_subcontracting:_lar.31722","Score Subcontracting: large national firms and SMEs"
"score_subcontracting:_nat.31723","Score Subcontracting: national and foreign firms"
"score_subsidies:_commodit.31726","Score Subsidies: commodities"
"score_subsidies:_petrol_a.31727","Score Subsidies: petrol at the pumps"
"score_support:_related_to.31728","Score Support: related to general interest objectives"
"score_system_of_norms_and.31729","Score System of norms and standards (international system)"
"score_targeted_support:_e.31733","Score Targeted support: emerging dynamic sectors"
"score_tax_exemptions.31734","Score Tax exemptions"
"score_technical_capacitie.31736","Score Technical capacities: SMEs"
"score_technical_capacitie.31737","Score Technical capacities: large companies"
"score_technology_transfer.31738","Score Technology transfers: foreign to domestic stakeholders"
"score_termination_of_cont.31741","Score Termination of contract without compensation: domestic stakeholders"
"score_capacity_of_nationa.31742","Score Capacity of national public authorities hampered: divisions between the State apparatus"
"score_termination_of_cont.31743","Score Termination of contract without compensation: foreign stakeholders"
"score_territorial_coverag.31744","Score Territorial coverage: basic healthcare services"
"score_territorial_coverag.31745","Score Territorial coverage: drinking water and sanitation networks"
"score_territorial_coverag.31746","Score Territorial coverage: electricity grid"
"score_territorial_coverag.31747","Score Territorial coverage: maintenance and solid waste disposal"
"score_territorial_coverag.31748","Score Territorial coverage: public schools"
"score_territorial_coverag.31749","Score Territorial coverage: transport infrastructure"
"score_capacity_of_nationa.31753","Score Capacity of national public authorities hampered: external stakeholders"
"score_think_tanks.31757","Score Think tanks"
"score_timeliness_of_judic.31759","Score Timeliness of judicial decisions"
"score_traditional_solidar.31762","Score Traditional Solidarity: urban and periurban areas"
"score_capacity_of_nationa.31764","Score Capacity of national public authorities hampered: lack of cooperation with neighbours"
"score_traditional_rights_.31768","Score Traditional rights system: rural land"
"score_traditional_solidar.31773","Score Traditional solidarity: between urban and rural areas"
"score_traditional_solidar.31774","Score Traditional solidarity: rural areas"
"score_capacity_of_nationa.31776","Score Capacity of national public authorities hampered: political divisions"
"score_transparency_of_inf.31777","Score Transparency of information on listed companies"
"score_transparency:_publi.31785","Score Transparency: public procurement"
"score_unemployment_rate_f.31788","Score Unemployment rate for young university graduates"
"score_capacity_of_nationa.31790","Score Capacity of national public authorities hampered: pressure group"
"score_upward_social_mobil.31791","Score Upward social mobility linked to merit"
"score_violence_against_pu.31793","Score Violence against public officials"
"score_violent_activities:.31796","Score Violent activities: criminal organisations"
"score_violent_activities:.31797","Score Violent activities: natural resources"
"score_violent_activities:.31798","Score Violent activities: political organisations"
"score_vocational_training.31803","Score Vocational training"
"score_vocational_training.31804","Score Vocational training adapted to firms requirements?"
"score_wage_indexation_to_.31809","Score Wage indexation to inflation"
"score_workers_organizatio.31815","Score Workers organizations and the general interest"
"score_civil_society_insti.30835","Score Civil society institutions (NGOs) working to control arbitrary state violence"
"score_civil_society_oppos.30836","Score Civil society opposition or political or social expression practices using the Internet or mobile telephones"
"score_closer_supervision_.30837","Score Closer supervision of the financial system"
"score_compartmentalisatio.30838","Score Compartmentalisation of banking system by law (loans to agriculture, industry, hotel sector, etc)"
"score_compensation_in_the.30843","Score Compensation in the event of de jure or de facto expropriation of land property (by the government or the local authorities)?"
"score_compensation_in_the.30845","Score Compensation in the event of de jure or de facto expropriation of property for production (by the government or the local authorities)?"
"score_consistency_and_con.30857","Score Consistency and continuity of government action in nonpolitical matters"
"score_consistency_and_con.30858","Score Consistency and continuity of political reforms"
"score_convertibility_for_.30867","Score Convertibility for current transactions"
"score_cooperation_links_b.30869","Score Cooperation links between businesses, universities and research centres"
"score_de_facto_equality_o.30888","Score De facto equality of treatment of citizens before the law"
"score_de_facto_equality_o.30889","Score De facto equality of treatment of foreigners (compared with nationals)"
"score_access_of_foreignow.30892","Score Access of foreignowned or partlyforeignowned firms to loans from local banks"
"score_de_facto_or_de_jure.30893","Score De facto or de jure wage indexation to inflation"
"score_did_the_current_hea.30909","Score Did the current head of state or government come to power in compliance with the (changed) rules in force at the moment of hisher accession (election, dynastic succession, etc.)?"
"score_difference_between_.30910","Score Difference between local and international capital adequacy standards (Cooke ratio, etc)"
"score_difference_between_.30911","Score Difference between local and international standards in terms of rules limiting banks external exposure"
"score_difference_between_.30912","Score Difference between local and international standards in terms of rules limiting concentration of loans to particular borrowers"
"score_access_of_local_ban.30913","Score Access of local banks and firms to international bank loans"
"score_difference_between_.30914","Score Difference between local and international standards in terms of rules limiting sector concentration of loans"
"score_diplomaticmilitary_.30915","Score Diplomaticmilitary tensions with the international community"
"score_direct_commodity_pr.30916","Score Direct commodity price subsidies"
"score_access_of_local_fir.30924","Score Access of local firms to international financial markets"
"score_access_to_state_edu.30937","Score Access to state education (primary and secondary)"
"score_do_any_formal_or_in.30938","Score Do any formal or informal institutions link the education system with the needs of firms on the labour market?"
"score_do_any_public_or_pr.30939","Score Do any public or private forums or think tanks exist that produce analyses, reports and proposals on the major national issues?"
"score_do_foreign_investor.30941","Score Do foreign investors encounter de facto or de jure resistance to investment in public services (publicprivate partnerships, concessions, etc.)"
"score_do_foreign_investor.30942","Score Do foreign investors encounter de facto or de jure resistance to shareholdings in private firms?"
"score_do_one_or_more_(pol.30943","Score Do one or more (political or administrative) organisations handle, de facto or de jure, dialogue between the main private and public stakeholders?"
"score_do_pressure_groups_.30945","Score Do pressure groups lobby against trade openness?"
"score_do_the_employers_or.30949","Score Do the employers organisations strictly defend their members interests or do they have a broader vision (public interest)?"
"score_do_the_labour_repre.30950","Score Do the labour representatives strictly defend their members interests or do they have a broader vision (public interest)?"
"score_do_the_major_foreig.30951","Score Do the major foreign economic stakeholders influence the content of public policies?"
"score_do_the_major_nation.30952","Score Do the major national economic stakeholders (lobby groups) influence the content of fiscal policies?"
"score_do_the_major_nation.30953","Score Do the major national economic stakeholders (lobby groups) influence the content of public economic regulatory policies?"
"score_do_the_major_nation.30954","Score Do the major national economic stakeholders (lobby groups) influence the content of public land tenure policies?"
"score_do_the_national_aut.30955","Score Do the national authorities and local stakeholders (local and regional authorities, private sector, NGOs, etc.) cooperate to develop and improve the effectiveness of public policies?"
"score_do_the_political_ov.30957","Score Do the political oversight institutions (constitutional court or equivalent, etc) operate in compliance with the formal rules in force (constitution or equivalent)?"
"score_do_the_representati.30960","Score Do the representative political institutions (parliament or equivalent) operate in compliance with the formal rules in force (constitution or equivalent)?"
"score_do_the_toplevel_gov.30961","Score Do the toplevel government authorities take part in this (these) dialogue structure(s)?"
"score_do_young_graduates_.30962","Score Do young graduates experience a higher unemployment rate than the average unemployment rate?"
"score_does_donors_(when_t.30964","Score Does donors (when the countries receive official development assistance) influence the content of public policies?"
"score_does_the_state_cont.30965","Score Does the State control the content of the information in the different media, de jure or de facto?"
"score_does_the_state_look.30966","Score Does the State look after national security?"
"score_does_the_government.30967","Score Does the government display capacity to adapt to changes in the domestic or international economic or social environment?"
"score_does_the_government.30968","Score Does the government formally recognise the diversity of landrights systems in rural areas?"
"score_does_the_government.30969","Score Does the government formally recognise the diversity of landrights systems in urban and suburban areas?"
"score_accounts_of_public_.30970","Score Accounts of public banks"
"score_does_the_government.30971","Score Does the government have a land development policy for economic activity in agriculture in rural areas?"
"score_does_the_government.30972","Score Does the government have a land development policy for economic activity in urban and suburban areas?"
"score_does_the_government.30973","Score Does the government have a land development policy for housing in urban and suburban areas?"
"score_does_the_government.30974","Score Does the government have a policy to foster access to land for certain disadvantaged groups (minorities, natives, indigenous peoples, immigrants, etc.)"
"score_does_the_government.30977","Score Does the government have the capacity to motivate public and private stakeholders to work towards this vision (e.g. via fiscal, financial, commercial and regulatory incentives)?"
"score_does_the_government.30978","Score Does the government have the capacity to share this vision with society as a whole?"
"score_does_the_government.30979","Score Does the government support private or public research & development?"
"score_accounts_of_stateow.30981","Score Accounts of stateowned enterprises"
"score_doesdo_thisthese_di.30983","Score Doesdo thisthese dialogue structure(s) consider the interests of the countrys main economic and social stakeholders?"
"score_economic_zones_with.30989","Score Economic zones with favourable exemptions (tax, regulatory, etc.)"
"score_effectiiveness_of_a.30994","Score Effectiiveness of arrangements to combat abuses of dominant positions"
"score_effectiveness_of_st.30999","Score Effectiveness of staff retraining and reskilling measures"
"score_equality_of_treatme.31027","Score Equality of treatment between nationals and foreigners in commercial disputes"
"score_ethnic_or_castebase.31029","Score Ethnic or castebased segregation"
"score_ethnic,_religious,_.31030","Score Ethnic, religious, regional or other types of conflicts"
"score_administrative_form.31046","Score Administrative formalities"
"score_existence_of_arrang.31052","Score Existence of arrangements to combat abuse of dominant position"
"score_existence_of_arrang.31056","Score Existence of arrangements to combat restrictive collective agreements (cartels)"
"score_existence_of_instit.31058","Score Existence of institutions or arrangements to encourage technology transfers and skills transfers from foreign players to domestic players"
"score_administrative_sett.31059","Score Administrative setting of interest rates"
"score_existence_of_instit.31060","Score Existence of institutions or arrangements to support research and technological acquisions for large firms"
"score_existence_of_instit.31061","Score Existence of institutions or arrangements to support research and technological acquisitions for SMEs"
"score_existence_of_simpli.31062","Score Existence of simplified legal procedures in favour of restructuring rather than liquidation?"
"score_extent_of_concentra.31066","Score Extent of concentration of private media"
"score_extent_of_enforceme.31067","Score Extent of enforcement and speed of court rulings in commercial matters"
"score_extent_of_enforceme.31068","Score Extent of enforcement and speed of rulings"
"score_extent_of_eviction_.31069","Score Extent of eviction operations over the last three years (excluding conflicts, civil wars, etc.)?"
"score_extent_of_large_inv.31071","Score Extent of large investment (national or international) in urban land property"
"score_extent_of_large,_na.31072","Score Extent of large, national or international investment (food, industrial, tourism, mining or forestry sectors) in rural land property"
"score_extent_of_municipal.31073","Score Extent of municipal authorities autonomy in fiscal matters"
"score_extent_of_municipal.31074","Score Extent of municipal authorities decisionmaking autonomy in the supply of basic services (water, sanitation, education, healthcare, etc.)"
"score_extent_of_other_loc.31075","Score Extent of other local authorities autonomy in fiscal matters (State in the case of federations, Regions, Provinces, etc)"
"score_extent_of_other_loc.31076","Score Extent of other local authorities decisionmaking autonomy (State for federations, Regions, Provinces, etc.) in the supply of basic services (water, sanitation, education, healthcare, etc.)"
"score_extent_of_subcontra.31077","Score Extent of subcontracting between SMEs"
"score_extent_of_subcontra.31078","Score Extent of subcontracting between SMEs and large national firms"
