"country","countryiso3","latest.year_SH.DYN.AIDS.ZS","latest.value_SH.DYN.AIDS.ZS"
"Italy","ITA",2018,0.3
"Jamaica","JAM",2018,1.9
"Japan","JPN",2018,0.1
"Jordan","JOR",2018,0.1
"Kazakhstan","KAZ",2018,0.2
"Kenya","KEN",2018,4.7
"Kuwait","KWT",2018,0.1
"Kyrgyz Republic","KGZ",2018,0.2
"Lao PDR","LAO",2018,0.3
"Latin America & Caribbean","LCN",2018,0.442777120567071
"Latin America & Caribbean (excluding high income)","LAC",2018,0.435563385115663
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,0.442158363940186
"Latvia","LVA",2018,0.4
"Least developed countries: UN classification","LDC",2018,1.79958497277035
"Lebanon","LBN",2018,0.1
"Lesotho","LSO",2018,23.6
"Liberia","LBR",2018,1.3
"Libya","LBY",2018,0.2
"Low income","LIC",2018,1.94313840391618
"Luxembourg","LUX",2018,0.3
"Madagascar","MDG",2018,0.3
"Malawi","MWI",2018,9.2
"Malaysia","MYS",2018,0.4
"Mali","MLI",2018,1.4
"Mauritania","MRT",2018,0.2
"Mauritius","MUS",2018,1.3
"Mexico","MEX",2018,0.2
"Middle East & North Africa","MEA",2018,0.109040656379805
"Middle East & North Africa (excluding high income)","MNA",2018,0.105407157041857
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,0.105407157041857
"Moldova","MDA",2018,0.6
"Mongolia","MNG",2018,0.1
"Montenegro","MNE",2018,0.1
"Morocco","MAR",2018,0.1
"Mozambique","MOZ",2018,12.6
"Myanmar","MMR",2018,0.8
"Namibia","NAM",2018,11.8
"Nepal","NPL",2018,0.1
"Netherlands","NLD",2017,0.2
"New Zealand","NZL",2018,0.1
"Nicaragua","NIC",2018,0.2
"Niger","NER",2018,0.3
"Nigeria","NGA",2018,1.5
"North America","NAC",2016,0.4
"North Macedonia","MKD",2018,0.1
"Norway","NOR",2018,0.1
"OECD members","OED",2016,0.279640751517615
"Oman","OMN",2018,0.2
"Other small states","OSS",2018,8.68955138885113
"Pakistan","PAK",2018,0.1
"Panama","PAN",2018,0.9
"Papua New Guinea","PNG",2018,0.8
"Paraguay","PRY",2018,0.5
"Peru","PER",2018,0.3
"Philippines","PHL",2018,0.1
"Portugal","PRT",2018,0.5
"Post-demographic dividend","PST",2016,0.315168964215478
"Pre-demographic dividend","PRE",2018,2.65169331525239
"Romania","ROU",2018,0.1
"Rwanda","RWA",2018,2.5
"Senegal","SEN",2018,0.4
"Serbia","SRB",2018,0.1
"Sierra Leone","SLE",2018,1.5
"Singapore","SGP",2018,0.2
"Slovak Republic","SVK",2018,0.1
"Slovenia","SVN",2018,0.1
"Small states","SST",2018,7.31250114608514
"Somalia","SOM",2018,0.1
"South Africa","ZAF",2018,20.4
"South Sudan","SSD",2018,2.5
"Spain","ESP",2018,0.3
"Sri Lanka","LKA",2018,0.1
"Sub-Saharan Africa","SSF",2018,3.90190503884857
"Sub-Saharan Africa (excluding high income)","SSA",2018,3.90518321265565
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,3.90190503884857
"Sudan","SDN",2018,0.2
"Suriname","SUR",2018,1.4
"Syrian Arab Republic","SYR",2018,0.1
"Tajikistan","TJK",2018,0.2
"Tanzania","TZA",2018,4.6
"Thailand","THA",2018,1.1
"Togo","TGO",2018,2.3
"Tunisia","TUN",2018,0.1
"Uganda","UGA",2018,5.7
"Ukraine","UKR",2018,1
"United Kingdom","GBR",2017,0.2
"United States","USA",2016,0.4
"Uruguay","URY",2018,0.6
"Uzbekistan","UZB",2018,0.2
"Vietnam","VNM",2018,0.3
"World","WLD",2018,0.8
"Yemen, Rep.","YEM",2018,0.1
"Zambia","ZMB",2018,11.3
"Zimbabwe","ZWE",2018,12.7
