"country","countryiso3","latest.year_percent_women_participati.28129","latest.value_percent_women_participati.28129","latest.year_value_proportion_of_time_.28130","latest.value_value_proportion_of_time_.28130","latest.year_value_proportion_of_time_.28131","latest.value_value_proportion_of_time_.28131"
"Ecuador","ECU",NA,NA,NA,NA,NA,NA
"Egypt, Arab Rep.","EGY",2014,67.4,2015,22.3611111,2015,2.4305556
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Spain","ESP",NA,NA,NA,NA,NA,NA
"Estonia","EST",NA,NA,NA,NA,NA,NA
"Ethiopia","ETH",2016,78.2,NA,NA,NA,NA
"Finland","FIN",NA,NA,NA,NA,NA,NA
"Fiji","FJI",NA,NA,2016,15.1581158,2016,5.1947586
"France","FRA",NA,NA,NA,NA,NA,NA
"Gabon","GAB",NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",NA,NA,2015,12.6527778,2015,6.9652778
"Ghana","GHA",2014,73.9,NA,NA,NA,NA
"Guinea","GIN",NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",NA,NA,NA,NA,NA,NA
"Greece","GRC",NA,NA,2014,18.125,2014,7.0138889
"Guatemala","GTM",2015,81.9,2014,17.7670196,2014,2.3575079
"Guyana","GUY",NA,NA,NA,NA,NA,NA
"Hong Kong SAR, China","HKG",NA,NA,NA,NA,NA,NA
"Honduras","HND",NA,NA,NA,NA,NA,NA
"Haiti","HTI",2017,82.5,NA,NA,NA,NA
"Hungary","HUN",NA,NA,NA,NA,NA,NA
"Indonesia","IDN",2017,76.3,NA,NA,NA,NA
"India","IND",2016,73.4,NA,NA,NA,NA
"Ireland","IRL",NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep.","IRN",NA,NA,NA,NA,NA,NA
"Iraq","IRQ",NA,NA,NA,NA,NA,NA
"Italy","ITA",NA,NA,2014,20.4,2014,8.4
"Jordan","JOR",NA,NA,NA,NA,NA,NA
"Japan","JPN",NA,NA,2016,15.1388889,2016,3.125
"Kazakhstan","KAZ",NA,NA,NA,NA,NA,NA
"Kenya","KEN",2014,72.5,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",NA,NA,2015,16.8055556,2015,9.5138889
"Cambodia","KHM",2014,93.5,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,2014,14.5791667,2014,3.6083333
"Lao PDR","LAO",NA,NA,NA,NA,NA,NA
"Liberia","LBR",NA,NA,NA,NA,NA,NA
"Lesotho","LSO",2014,88.8,NA,NA,NA,NA
"Lithuania","LTU",NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",NA,NA,2014,14.4444444,2014,7.0833333
"Latvia","LVA",NA,NA,NA,NA,NA,NA
"Morocco","MAR",NA,NA,NA,NA,NA,NA
"Moldova","MDA",NA,NA,NA,NA,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,NA
"Maldives","MDV",2017,86.8,NA,NA,NA,NA
"Mexico","MEX",NA,NA,2014,29.5219895,2014,9.7649549
"Macedonia, FYR","MKD",NA,NA,2014,4.27,2014,1.38
"Mali","MLI",NA,NA,NA,NA,NA,NA
"Malta","MLT",NA,NA,NA,NA,NA,NA
"Myanmar","MMR",2016,74.3,NA,NA,NA,NA
"Mongolia","MNG",NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",2015,75.5,NA,NA,NA,NA
"Mauritius","MUS",NA,NA,NA,NA,NA,NA
"Malawi","MWI",2016,55.4,NA,NA,NA,NA
"Malaysia","MYS",NA,NA,NA,NA,NA,NA
"Namibia","NAM",NA,NA,NA,NA,NA,NA
"Niger","NER",NA,NA,NA,NA,NA,NA
"Nigeria","NGA",NA,NA,NA,NA,NA,NA
"Nicaragua","NIC",NA,NA,NA,NA,NA,NA
"Netherlands","NLD",NA,NA,NA,NA,NA,NA
"Norway","NOR",NA,NA,NA,NA,NA,NA
"Nepal","NPL",2016,53,NA,NA,NA,NA
"New Zealand","NZL",NA,NA,NA,NA,NA,NA
"Oman","OMN",NA,NA,NA,NA,NA,NA
"Pakistan","PAK",NA,NA,NA,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA
"Peru","PER",NA,NA,NA,NA,NA,NA
"Philippines","PHL",2017,89.1,NA,NA,NA,NA
"Papua New Guinea","PNG",NA,NA,NA,NA,NA,NA
"Poland","POL",NA,NA,NA,NA,NA,NA
"Portugal","PRT",NA,NA,2015,17.8113542,2015,10.2414028
"Paraguay","PRY",NA,NA,2016,14.5250208,2016,4.2704121
"West Bank and Gaza","PSE",NA,NA,NA,NA,NA,NA
"Qatar","QAT",NA,NA,NA,NA,NA,NA
"Romania","ROU",NA,NA,NA,NA,NA,NA
"Russian Federation","RUS",NA,NA,2014,18.4027778,2014,8.125
"Rwanda","RWA",2015,73.2,NA,NA,NA,NA
"Senegal","SEN",2017,21,NA,NA,NA,NA
"Sierra Leone","SLE",NA,NA,NA,NA,NA,NA
"El Salvador","SLV",NA,NA,NA,NA,NA,NA
"Serbia","SRB",NA,NA,2015,19.1675585,2015,8.6903803
"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,NA
"Slovenia","SVN",NA,NA,NA,NA,NA,NA
"Sweden","SWE",NA,NA,NA,NA,NA,NA
"Swaziland","SWZ",NA,NA,NA,NA,NA,NA
"Chad","TCD",2015,39.8,NA,NA,NA,NA
"Togo","TGO",2014,47.2,NA,NA,NA,NA
"Thailand","THA",NA,NA,2015,11.8333333,2015,3.75
"Tajikistan","TJK",2017,37.5,NA,NA,NA,NA
"Turkmenistan","TKM",NA,NA,NA,NA,NA,NA
"Timor-Leste","TLS",2016,93.7,NA,NA,NA,NA
"Tunisia","TUN",NA,NA,NA,NA,NA,NA
"Turkey","TUR",NA,NA,2015,19.1511724,2015,3.7057481
"Tanzania","TZA",2016,46,2014,16.4583333,2014,4.2361111
"Uganda","UGA",2016,63.7,NA,NA,NA,NA
"Ukraine","UKR",NA,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,NA,NA,NA
"United States","USA",NA,NA,2016,15.9166667,2016,9.7916667
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA
"South Africa","ZAF",2016,91.9,NA,NA,NA,NA
"Zambia","ZMB",2014,66.3,NA,NA,NA,NA
"Zimbabwe","ZWE",2015,86.8,NA,NA,NA,NA
