"country","countryiso3","percent_women_participati.28129_2014","percent_women_participati.28129_2015","percent_women_participati.28129_2016","percent_women_participati.28129_2017","value_proportion_of_time_.28130_2014","value_proportion_of_time_.28130_2015","value_proportion_of_time_.28130_2016","value_proportion_of_time_.28130_2017","value_proportion_of_time_.28131_2014","value_proportion_of_time_.28131_2015","value_proportion_of_time_.28131_2016","value_proportion_of_time_.28131_2017"
"Thailand","THA",NA,NA,NA,NA,NA,11.8333333,NA,NA,NA,3.75,NA,NA
"Tajikistan","TJK",NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan","TKM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timor-Leste","TLS",NA,NA,93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tunisia","TUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey","TUR",NA,NA,NA,NA,NA,19.1511724,NA,NA,NA,3.7057481,NA,NA
"Tanzania","TZA",NA,NA,46,NA,16.4583333,NA,NA,NA,4.2361111,NA,NA,NA
"Uganda","UGA",NA,NA,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ukraine","UKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","USA",NA,NA,NA,NA,15.5416667,15.875,15.9166667,NA,9.7083333,9.75,9.7916667,NA
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","ZAF",NA,NA,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zambia","ZMB",66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","ZWE",NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
