"country","countryiso3","latest.year_NE.IMP.GNFS.ZS","latest.value_NE.IMP.GNFS.ZS"
"Iraq","IRQ",2019,39.2954816300492
"Ireland","IRL",2019,112.419653245149
"Israel","ISR",2018,29.0185324309142
"Italy","ITA",2019,28.5337329311474
"Jamaica","JAM",2019,51.0685283232471
"Japan","JPN",2018,18.2915985454891
"Jordan","JOR",2019,50.38444201172
"Kazakhstan","KAZ",2019,27.8913261448318
"Kenya","KEN",2019,21.3696454751159
"Kiribati","KIR",2018,88.7620863303888
"Korea, Rep.","KOR",2019,36.8835541072986
"Kosovo","XKX",2019,56.0596643878185
"Kuwait","KWT",2018,43.7670247605056
"Kyrgyz Republic","KGZ",2019,65.6998378421619
"Lao PDR","LAO",2016,41.8824634642904
"Late-demographic dividend","LTE",2019,26.7566048152556
"Latin America & Caribbean","LCN",2019,23.2565556395355
"Latin America & Caribbean (excluding high income)","LAC",2019,23.0238719032906
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2019,23.237417762371
"Latvia","LVA",2019,59.8236446824686
"Least developed countries: UN classification","LDC",2018,30.986871071717
"Lebanon","LBN",2019,41.9482953835925
"Lesotho","LSO",2019,90.9901264880189
"Liberia","LBR",2019,98.7269477421417
"Libya","LBY",2019,53.4859010433648
"Lithuania","LTU",2019,72.4926913362334
"Low & middle income","LMY",2019,24.465297899539
"Low income","LIC",2017,30.3603183551647
"Lower middle income","LMC",2019,30.8982515668183
"Luxembourg","LUX",2019,172.763866605908
"Macao SAR, China","MAC",2019,33.4373202659489
"Madagascar","MDG",2019,33.3575539716716
"Malawi","MWI",2019,35.5964946761968
"Malaysia","MYS",2019,57.7501464489845
"Maldives","MDV",2019,69.4414702326112
"Mali","MLI",2019,34.1730288629343
"Malta","MLT",2019,120.411643985476
"Marshall Islands","MHL",2018,85.2805068737064
"Mauritania","MRT",2019,52.3741350810683
"Mauritius","MUS",2019,53.6341768880584
"Mexico","MEX",2019,39.1147840831735
"Micronesia, Fed. Sts.","FSM",2018,65.3767313550068
"Middle East & North Africa","MEA",2018,39.184906090085
"Middle East & North Africa (excluding high income)","MNA",2017,32.883561130894
"Middle East & North Africa (IDA & IBRD countries)","TMN",2017,32.7189781310515
"Middle income","MIC",2019,24.3810376352559
"Moldova","MDA",2019,55.2483160961689
"Mongolia","MNG",2019,64.4195235462752
"Montenegro","MNE",2019,65.3761619788834
"Morocco","MAR",2019,48.3237702566124
"Mozambique","MOZ",2019,74.1237851109148
"Myanmar","MMR",2018,30.2992385010295
"Namibia","NAM",2019,47.6655468194033
"Nauru","NRU",2019,79.2498487598306
"Nepal","NPL",2019,46.2576216976309
"Netherlands","NLD",2019,71.7985693016818
"New Caledonia","NCL",NA,NA
"New Zealand","NZL",2018,27.9608251608158
"Nicaragua","NIC",2019,49.9686530958685
"Niger","NER",2019,27.9775340077766
"Nigeria","NGA",2018,17.5109443103654
"North America","NAC",2018,16.9989944136218
"North Macedonia","MKD",2019,75.5848009805819
"Northern Mariana Islands","MNP",2018,54.875283446712
"Norway","NOR",2019,35.1965424752632
"OECD members","OED",2018,28.9143502830178
"Oman","OMN",2019,42.5239864864865
"Other small states","OSS",2019,48.7290525767678
"Pakistan","PAK",2019,20.3191904838025
"Palau","PLW",2018,76.3032364313584
"Panama","PAN",2018,46.8486769172187
"Papua New Guinea","PNG",NA,NA
"Paraguay","PRY",2019,34.4841739800355
"Peru","PER",2019,22.9367553430375
"Philippines","PHL",2019,40.2669202222515
"Poland","POL",2019,50.4922245152528
"Portugal","PRT",2019,43.7932226311492
"Post-demographic dividend","PST",2018,29.6424869427722
"Pre-demographic dividend","PRE",2018,27.5760089413297
"Puerto Rico","PRI",2018,46.011632017857
"Qatar","QAT",2019,36.3935030105553
"Romania","ROU",2019,44.2086040125185
"Russian Federation","RUS",2019,20.7610265152513
"Rwanda","RWA",2019,34.6364087377315
"Samoa","WSM",2019,53.1351197585855
"San Marino","SMR",2017,100.010635792844
"Saudi Arabia","SAU",2019,26.1323114885104
"Senegal","SEN",2019,37.7137763960867
"Serbia","SRB",2019,60.6973083415867
"Seychelles","SYC",2019,86.3525047099263
"Sierra Leone","SLE",2018,39.2285313088917
"Singapore","SGP",2019,145.631114824683
"Sint Maarten (Dutch part)","SXM",2017,101.482338678569
"Slovak Republic","SVK",2019,92.1071817232696
"Slovenia","SVN",2019,75.2992063375892
"Small states","SST",2019,48.8708508941968
"Solomon Islands","SLB",2015,53.3190481644513
"Somalia","SOM",NA,NA
"South Africa","ZAF",2019,29.3506967823651
"South Asia","SAS",2019,21.821078616882
"South Asia (IDA & IBRD)","TSA",2019,21.821078616882
"South Sudan","SSD",2015,28.8999999040295
"Spain","ESP",2019,32.0468212868707
"Sri Lanka","LKA",2019,29.2468363305034
"St. Kitts and Nevis","KNA",2019,58.9918524992247
"St. Vincent and the Grenadines","VCT",NA,NA
"Sub-Saharan Africa","SSF",2019,30.4173933650106
"Sub-Saharan Africa (excluding high income)","SSA",2018,27.4397820615927
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2019,30.4173933650107
"Sudan","SDN",2019,14.0927764817356
"Suriname","SUR",NA,NA
"Sweden","SWE",2019,43.4754759348256
"Switzerland","CHE",2019,53.4049572220264
"Syrian Arab Republic","SYR",NA,NA
"Tajikistan","TJK",2017,40.9215394067741
"Tanzania","TZA",2017,17.098663264222
"Thailand","THA",2019,50.5584533990022
"Timor-Leste","TLS",2018,60.2661534665961
"Togo","TGO",2019,41.6015382008851
"Tonga","TON",2018,75.9221976120895
"Tunisia","TUN",2019,60.7032183261893
"Turkey","TUR",2019,29.7802630497053
"Turkmenistan","TKM",2018,12.4971962092749
"Uganda","UGA",2019,26.6527533580547
"Ukraine","UKR",2019,49.0015760219234
"United Arab Emirates","ARE",2019,68.4798395481877
"United Kingdom","GBR",2019,32.7114057234497
"United States","USA",2018,15.2984931212844
"Upper middle income","UMC",2019,22.9770663644423
"Uruguay","URY",2019,19.3062443109586
"Uzbekistan","UZB",2019,41.8185555158946
"Vanuatu","VUT",2014,49.3913461173823
"Venezuela, RB","VEN",2014,31.3969861752704
"Vietnam","VNM",2019,103.604695306615
"Virgin Islands (U.S.)","VIR",2017,78.5732814526589
"West Bank and Gaza","PSE",2018,59.7356303751394
"World","WLD",2018,29.300392366445
"Zambia","ZMB",2019,35.0136442247813
"Zimbabwe","ZWE",2018,31.0047522453361
