"country","countryiso3","latest.year_SE.XPD.PRIM.PC.ZS","latest.value_SE.XPD.PRIM.PC.ZS"
"Mexico","MEX",2016,13.78185
"Middle East & North Africa","MEA",NA,NA
"Middle East & North Africa (excluding high income)","MNA",NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA
"Moldova","MDA",2018,32.53494
"Monaco","MCO",2016,3.31307
"Mongolia","MNG",2017,14.10634
"Morocco","MAR",2013,19.49905
"Mozambique","MOZ",2013,14.6503
"Myanmar","MMR",2018,7.81464
"Namibia","NAM",NA,NA
"Nepal","NPL",2015,12.35956
"Netherlands","NLD",2016,16.66924
"New Zealand","NZL",2016,20.32099
"Nicaragua","NIC",NA,NA
"Niger","NER",2017,13.30223
"North America","NAC",2016,19.85908
"Norway","NOR",2016,21.70425
"OECD members","OED",2016,20.279965
"Oman","OMN",2016,31.77481
"Other small states","OSS",2014,13.33654
"Pakistan","PAK",2015,8.09756
"Panama","PAN",NA,NA
"Paraguay","PRY",2016,11.67423
"Peru","PER",2018,11.22288
"Philippines","PHL",NA,NA
"Poland","POL",2016,23.08263
"Portugal","PRT",2015,22.50957
"Post-demographic dividend","PST",2016,20.295035
"Pre-demographic dividend","PRE",2013,10.67458
"Puerto Rico","PRI",2014,18.54029
"Qatar","QAT",NA,NA
"Romania","ROU",2016,7.82649
"Rwanda","RWA",2018,4.25557
"Samoa","WSM",2016,8.96586
"San Marino","SMR",NA,NA
"Sao Tome and Principe","STP",2014,11.87365
"Saudi Arabia","SAU",NA,NA
"Senegal","SEN",2018,10.90433
"Serbia","SRB",2015,43.65488
"Seychelles","SYC",2016,14.19805
"Sierra Leone","SLE",2018,12.36935
"Singapore","SGP",2017,17.51811
"Slovak Republic","SVK",2016,20.8158
"Slovenia","SVN",2016,23.5703
"Small states","SST",2014,14.898435
"South Africa","ZAF",2018,17.94111
"South Asia","SAS",2015,9.17222
"South Asia (IDA & IBRD)","TSA",2015,9.17222
"South Sudan","SSD",2016,4.57838
"Spain","ESP",2016,17.11832
"Sri Lanka","LKA",2018,7.91881
"St. Kitts and Nevis","KNA",2015,5.22032
"St. Lucia","LCA",2018,14.70984
"St. Vincent and the Grenadines","VCT",2018,17.50517
"Sub-Saharan Africa","SSF",NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",NA,NA
"Sweden","SWE",2016,21.74093
"Switzerland","CHE",2016,24.78876
"Syrian Arab Republic","SYR",NA,NA
"Tanzania","TZA",2014,9.52422
"Thailand","THA",2013,23.31561
"Timor-Leste","TLS",2014,8.34206
"Togo","TGO",2016,16.16121
"Tonga","TON",NA,NA
"Trinidad and Tobago","TTO",NA,NA
"Tunisia","TUN",NA,NA
"Turkey","TUR",2016,12.99947
"Turks and Caicos Islands","TCA",2018,5.7043
"Uganda","UGA",2014,5.61796
"Ukraine","UKR",2017,30.31566
"United Arab Emirates","ARE",NA,NA
"United Kingdom","GBR",2016,24.17334
"United States","USA",2016,19.85908
"Upper middle income","UMC",NA,NA
"Uruguay","URY",2017,12.64033
"Vanuatu","VUT",2015,13.5286
"Venezuela, RB","VEN",2015,17.91013
"Vietnam","VNM",2013,21.14295
"World","WLD",2013,15.5618
"Yemen, Rep.","YEM",NA,NA
"Zambia","ZMB",2017,12.88822
"Zimbabwe","ZWE",2013,14.00009
