"country","countryiso3","SE.XPD.PRIM.PC.ZS_2013","SE.XPD.PRIM.PC.ZS_2014","SE.XPD.PRIM.PC.ZS_2015","SE.XPD.PRIM.PC.ZS_2016","SE.XPD.PRIM.PC.ZS_2017","SE.XPD.PRIM.PC.ZS_2018"
"Post-demographic dividend","PST",21.697075,21.13702,19.76064,20.295035,NA,NA
"Pre-demographic dividend","PRE",10.67458,NA,NA,NA,NA,NA
"Puerto Rico","PRI",19.32814,18.54029,NA,NA,NA,NA
"Qatar","QAT",NA,NA,NA,NA,NA,NA
"Romania","ROU",10.62756,9.01498,8.65312,7.82649,NA,NA
"Rwanda","RWA",6.54429,NA,5.54209,5.47035,NA,4.25557
"Samoa","WSM",NA,NA,NA,8.96586,NA,NA
"San Marino","SMR",NA,NA,NA,NA,NA,NA
"Sao Tome and Principe","STP",17.50715,11.87365,NA,NA,NA,NA
"Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA
"Senegal","SEN",15.07399,14.66828,13.74234,11.80185,NA,10.90433
"Serbia","SRB",NA,NA,43.65488,NA,NA,NA
"Seychelles","SYC",12.8518,15.84963,NA,14.19805,NA,NA
"Sierra Leone","SLE",6.14009,NA,NA,5.66124,4.75965,12.36935
"Singapore","SGP",NA,NA,NA,NA,17.51811,NA
"Slovak Republic","SVK",20.03757,19.88464,21.6772,20.8158,NA,NA
"Slovenia","SVN",28.4376,27.30189,24.55179,23.5703,NA,NA
"Small states","SST",NA,14.898435,NA,NA,NA,NA
"South Africa","ZAF",NA,17.8295,NA,NA,17.6493,17.94111
"South Asia","SAS",9.79172,10.125075,9.17222,NA,NA,NA
"South Asia (IDA & IBRD)","TSA",9.79172,10.125075,9.17222,NA,NA,NA
"South Sudan","SSD",NA,NA,NA,4.57838,NA,NA
"Spain","ESP",17.62613,17.33387,17.27588,17.11832,NA,NA
"Sri Lanka","LKA",4.34115,6.47661,7.43956,14.4145,11.39277,7.91881
"St. Kitts and Nevis","KNA",NA,NA,5.22032,NA,NA,NA
"St. Lucia","LCA",15.90101,15.92156,15.94346,16.48968,15.91189,14.70984
"St. Vincent and the Grenadines","VCT",17.38823,18.2446,16.7271,17.94852,17.84389,17.50517
"Sub-Saharan Africa","SSF",NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",NA,NA,NA,NA,NA,NA
"Sweden","SWE",22.22538,21.88263,21.33574,21.74093,NA,NA
"Switzerland","CHE",26.87479,26.41578,24.56797,24.78876,NA,NA
"Syrian Arab Republic","SYR",NA,NA,NA,NA,NA,NA
"Tanzania","TZA",NA,9.52422,NA,NA,NA,NA
"Thailand","THA",23.31561,NA,NA,NA,NA,NA
"Timor-Leste","TLS",4.24855,8.34206,NA,NA,NA,NA
"Togo","TGO",12.76128,14.24541,16.09805,16.16121,NA,NA
"Tonga","TON",NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO",NA,NA,NA,NA,NA,NA
"Tunisia","TUN",NA,NA,NA,NA,NA,NA
"Turkey","TUR",13.20414,14.60988,14.38743,12.99947,NA,NA
"Turks and Caicos Islands","TCA",NA,NA,15.64521,NA,NA,5.7043
"Uganda","UGA",5.16447,5.61796,NA,NA,NA,NA
"Ukraine","UKR",32.34896,27.03674,NA,26.25312,30.31566,NA
"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",23.14708,23.5778,24.97949,24.17334,NA,NA
"United States","USA",19.71867,19.7888,19.76064,19.85908,NA,NA
"Upper middle income","UMC",NA,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,12.39083,12.64033,NA
"Vanuatu","VUT",NA,NA,13.5286,NA,NA,NA
"Venezuela, RB","VEN",NA,NA,17.91013,NA,NA,NA
"Vietnam","VNM",21.14295,NA,NA,NA,NA,NA
"World","WLD",15.5618,NA,NA,NA,NA,NA
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA
"Zambia","ZMB",NA,NA,14.32072,12.91385,12.88822,NA
"Zimbabwe","ZWE",14.00009,NA,NA,NA,NA,NA
