"country","countryiso3","latest.year_ST.INT.XPND.MP.ZS","latest.value_ST.INT.XPND.MP.ZS"
"Norway","NOR",2018,13.1757886185558
"OECD members","OED",2018,5.62259883722023
"Oman","OMN",2018,9.0944288108368
"Other small states","OSS",2018,11.695811804155
"Pacific island small states","PSS",2018,5.97803228946023
"Pakistan","PAK",2018,4.27144903935863
"Palau","PLW",2017,11.2656027029229
"Panama","PAN",2018,4.53576055218231
"Papua New Guinea","PNG",2017,3.66400335606267
"Paraguay","PRY",2018,3.95577302466936
"Peru","PER",2018,6.64082116705214
"Philippines","PHL",2018,9.61410596159944
"Poland","POL",2018,3.4739665375282
"Portugal","PRT",2018,6.25606564732127
"Post-demographic dividend","PST",2018,5.79955707689458
"Pre-demographic dividend","PRE",2018,10.1992661954956
"Qatar","QAT",2018,17.860239113011
"Romania","ROU",2018,4.7251590521919
"Russian Federation","RUS",2018,11.3005812147815
"Rwanda","RWA",2018,12.1289743261529
"Samoa","WSM",2018,0.980115478020941
"Sao Tome and Principe","STP",2018,8.87722014487721
"Saudi Arabia","SAU",2018,8.56023595709856
"Senegal","SEN",2017,3.94337778041759
"Serbia","SRB",2018,6.13551888464637
"Seychelles","SYC",2018,5.35117698906762
"Sierra Leone","SLE",2018,3.77996675695004
"Singapore","SGP",2018,4.64597049013586
"Sint Maarten (Dutch part)","SXM",2018,8.51450342256308
"Slovak Republic","SVK",2018,2.80815871532977
"Slovenia","SVN",2018,4.21483334690866
"Small states","SST",2018,10.7539030997878
"Solomon Islands","SLB",2018,7.14565344347247
"South Africa","ZAF",2018,5.82867789187758
"South Asia","SAS",2018,4.09534994402972
"South Asia (IDA & IBRD)","TSA",2018,4.09534994402973
"South Sudan","SSD",2018,14.3628279932358
"Spain","ESP",2018,5.7986812093149
"Sri Lanka","LKA",2018,9.26581828380392
"St. Kitts and Nevis","KNA",2018,9.93443017968863
"St. Lucia","LCA",2018,8.71971318785475
"St. Vincent and the Grenadines","VCT",2018,10.6441250680793
"Sub-Saharan Africa","SSF",2018,7.57292089872423
"Sub-Saharan Africa (excluding high income)","SSA",2018,7.58413291631905
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,7.57292089872423
"Sudan","SDN",2018,0.157818441898368
"Suriname","SUR",2018,4.93243932748648
"Sweden","SWE",2018,7.45223566110453
"Switzerland","CHE",2018,5.43604751623313
"Syrian Arab Republic","SYR",NA,NA
"Tajikistan","TJK",2018,0.751505583280802
"Tanzania","TZA",2018,8.27664312087966
"Thailand","THA",2018,5.16918125886915
"Timor-Leste","TLS",2018,12.3617053609276
"Togo","TGO",2017,2.73325579742169
"Tonga","TON",2018,12.7513609267054
"Trinidad and Tobago","TTO",2018,1.64292279361293
"Tunisia","TUN",2018,3.87008547532526
"Turkey","TUR",2018,2.08447270313485
"Tuvalu","TUV",2013,19.1161065273023
"Uganda","UGA",2018,3.86635083367024
"Ukraine","UKR",2018,11.7542764744263
"United Kingdom","GBR",2018,7.59537364202657
"United States","USA",2018,5.96064163794602
"Upper middle income","UMC",2018,8.63335655064414
"Uruguay","URY",2018,9.9800198321672
"Uzbekistan","UZB",2018,11.6108708806334
"Vanuatu","VUT",2018,4.56043269281269
"Venezuela, RB","VEN",2016,11.3134444013948
"Vietnam","VNM",2018,2.40608364448114
"West Bank and Gaza","PSE",2018,8.64734863783412
"World","WLD",2018,6.43823894101307
"Yemen, Rep.","YEM",2016,0.678285595394158
"Zambia","ZMB",2018,4.6894811701325
"Zimbabwe","ZWE",2017,5.1528959469222
