"country","countryiso3","SE.ADT.LITR.ZS_2013","SE.ADT.LITR.ZS_2014","SE.ADT.LITR.ZS_2015","SE.ADT.LITR.ZS_2016","SE.ADT.LITR.ZS_2017","SE.ADT.LITR.ZS_2018"
"Latin America & Caribbean (excluding high income)","LAC",91.76209,92.2644,92.45387,92.97116,93.12496,93.31166
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",92.34312,92.79792,92.99225,93.46904,93.58714,93.75496
"Latvia","LVA",NA,NA,NA,NA,NA,99.88931
"Least developed countries: UN classification","LDC",59.38629,60.15597,61.41421,63.42245,64.2174,64.81693
"Lebanon","LBN",NA,NA,NA,NA,NA,95.06944
"Lesotho","LSO",NA,76.6352,NA,NA,NA,NA
"Liberia","LBR",NA,NA,NA,NA,48.30136,NA
"Libya","LBY",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",NA,NA,NA,NA,NA,NA
"Low & middle income","LMY",82.36124,82.78633,83.1604,83.52819,83.81031,84.02266
"Low income","LIC",60.17592,60.90361,61.27429,61.93147,62.75316,63.18397
"Lower middle income","LMC",74.13088,74.84184,75.59041,76.25343,76.85608,77.24338
"Macao SAR, China","MAC",NA,NA,NA,96.53849,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,74.80432
"Malawi","MWI",NA,65.14537,62.14354,NA,NA,NA
"Malaysia","MYS",NA,NA,NA,93.7347,95.08265,94.85441
"Maldives","MDV",NA,98.61012,NA,97.73495,NA,NA
"Mali","MLI",NA,NA,33.06889,NA,NA,35.47377
"Malta","MLT",NA,NA,NA,NA,NA,94.50319
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",NA,NA,NA,NA,53.49759,NA
"Mauritius","MUS",91.49003,92.47476,92.7076,93.15784,NA,91.32539
"Mexico","MEX",93.96285,94.55588,94.47228,94.85962,94.97278,95.37991
"Middle East & North Africa","MEA",78.21723,78.74318,79.4081,77.93316,78.83495,78.96279
"Middle East & North Africa (excluding high income)","MNA",75.40792,75.96811,76.62246,74.84724,75.85256,75.9596
"Middle East & North Africa (IDA & IBRD countries)","TMN",75.18455,75.74665,76.40267,74.60233,75.61515,75.72189
"Middle income","MIC",84.45217,84.87823,85.28447,85.65752,85.92127,86.14847
"Moldova","MDA",NA,99.35989,NA,NA,NA,NA
"Mongolia","MNG",NA,NA,NA,NA,NA,98.42312
"Montenegro","MNE",NA,NA,NA,NA,NA,98.84718
"Morocco","MAR",NA,NA,NA,NA,NA,73.75001
"Mozambique","MOZ",NA,NA,56.039,NA,60.65543,NA
"Myanmar","MMR",NA,NA,NA,75.5512,NA,NA
"Namibia","NAM",NA,NA,NA,NA,NA,91.52727
"Nepal","NPL",NA,NA,NA,NA,NA,67.90843
"New Caledonia","NCL",NA,97.8,NA,NA,NA,NA
"Nicaragua","NIC",NA,NA,82.61455,NA,NA,NA
"Niger","NER",NA,NA,NA,NA,NA,NA
"Nigeria","NGA",NA,NA,NA,NA,NA,62.01601
"North Macedonia","MKD",NA,97.8,NA,NA,NA,NA
"Oman","OMN",NA,91.9812,93.03861,94.89999,95.576,95.65153
"Other small states","OSS",82.64476,83.08374,84.41474,83.93278,84.17819,84.52881
"Pacific island small states","PSS",NA,NA,NA,90.97831,91.01657,NA
"Pakistan","PAK",55.59499,56.97715,NA,NA,59.13205,NA
"Palau","PLW",99.50313,NA,96.59374,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,95.41181
"Papua New Guinea","PNG",NA,NA,NA,NA,NA,NA
"Paraguay","PRY",95.05904,95.03481,95.55484,94.65024,NA,94.0208
"Peru","PER",NA,93.70795,94.16234,94.17367,94.14961,94.40827
"Philippines","PHL",96.398,NA,98.18255,NA,NA,NA
"Poland","POL",NA,NA,NA,NA,NA,NA
"Portugal","PRT",NA,NA,NA,NA,NA,96.13759
"Pre-demographic dividend","PRE",58.84711,59.71051,60.30702,61.03961,61.92296,62.64361
"Puerto Rico","PRI",NA,NA,NA,NA,92.39,NA
"Qatar","QAT",90.63299,91.32722,NA,93.1453,93.46397,NA
"Romania","ROU",NA,NA,NA,NA,NA,98.8445
"Russian Federation","RUS",NA,NA,NA,NA,NA,99.73006
"Rwanda","RWA",NA,70.80413,NA,NA,NA,73.21559
"Samoa","WSM",NA,NA,NA,NA,NA,99.09577
"San Marino","SMR",NA,NA,NA,NA,NA,99.91643
"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,92.81664
"Saudi Arabia","SAU",94.42634,NA,NA,NA,95.32863,NA
"Senegal","SEN",42.8175,NA,NA,NA,51.90042,NA
"Serbia","SRB",NA,NA,NA,98.84151,NA,NA
"Seychelles","SYC",NA,NA,NA,NA,NA,95.86771
"Sierra Leone","SLE",32.42617,NA,NA,NA,NA,43.20633
"Singapore","SGP",96.54808,96.71666,96.82549,97.04959,97.20225,97.34486
"Slovenia","SVN",NA,99.7,NA,NA,NA,NA
"Small states","SST",84.79789,85.14295,86.13148,85.77091,85.94953,86.20175
"Solomon Islands","SLB",NA,NA,NA,NA,NA,NA
"Somalia","SOM",NA,NA,NA,NA,NA,NA
"South Africa","ZAF",NA,94.1399,94.36792,NA,87.04667,NA
"South Asia","SAS",68.01312,68.73481,69.65735,70.99924,71.69524,72.25239
"South Asia (IDA & IBRD)","TSA",68.01312,68.73481,69.65735,70.99924,71.69524,72.25239
"South Sudan","SSD",NA,NA,NA,NA,NA,34.52276
"Spain","ESP",98.07913,98.09372,98.14326,98.25051,NA,98.4365
"Sri Lanka","LKA",NA,NA,NA,92.3869,91.89575,91.70982
"St. Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa","SSF",62.81559,63.48687,64.08716,64.78863,65.05196,65.57706
"Sub-Saharan Africa (excluding high income)","SSA",62.81126,63.48269,64.08313,64.78476,65.0482,65.57343
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",62.81559,63.48687,64.08716,64.78863,65.05196,65.57706
"Sudan","SDN",NA,NA,NA,NA,NA,60.69718
"Suriname","SUR",NA,NA,NA,NA,NA,94.38327
"Syrian Arab Republic","SYR",NA,NA,NA,NA,NA,NA
"Tajikistan","TJK",NA,99.8,NA,NA,NA,NA
"Tanzania","TZA",NA,NA,77.88723,NA,NA,NA
"Thailand","THA",93.70207,NA,92.86831,NA,NA,93.76776
"Timor-Leste","TLS",NA,NA,NA,NA,NA,68.06683
"Togo","TGO",NA,NA,63.74562,NA,NA,NA
"Tonga","TON",NA,NA,NA,NA,NA,99.41437
"Trinidad and Tobago","TTO",NA,NA,NA,NA,NA,NA
"Tunisia","TUN",NA,79.03643,NA,NA,NA,NA
"Turkey","TUR",95.25666,95.43963,95.60142,96.16733,96.15053,NA
"Turkmenistan","TKM",NA,99.7,NA,NA,NA,NA
"Uganda","UGA",NA,NA,NA,NA,NA,76.5275
"Ukraine","UKR",NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE",NA,NA,93.22714,NA,NA,NA
"Upper middle income","UMC",94.41675,94.6637,94.83118,95.01176,95.02833,95.18383
"Uruguay","URY",98.36387,98.43593,98.52387,98.56147,98.61572,98.70386
"Uzbekistan","UZB",99.99486,99.98055,99.98383,99.98657,NA,99.99289
"Vanuatu","VUT",NA,84.7,NA,NA,NA,87.50631
"Venezuela, RB","VEN",NA,NA,96.60522,97.12709,NA,NA
"Vietnam","VNM",NA,NA,NA,NA,NA,95.00038
"West Bank and Gaza","PSE",96.2849,96.42839,96.69073,96.93023,NA,97.21861
"World","WLD",84.90292,85.28372,85.59638,85.89491,86.12593,86.30101
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA
"Zambia","ZMB",NA,NA,NA,NA,NA,86.74796
"Zimbabwe","ZWE",NA,88.69342,NA,NA,NA,NA
