"country","countryiso3","latest.year_Value.3524","latest.year_Value.3526","latest.year_Value.3528","latest.year_Value.3530","latest.year_Value.3532","latest.year_Value.3534","latest.year_Value.3536","latest.year_Value.3538","latest.year_Value.3540","latest.year_Value.3546","latest.year_Value.3548","latest.year_Value.3550","latest.year_Value.3552","latest.year_Value.3554","latest.year_Value.3556","latest.year_Value.3558","latest.year_Value.3560","latest.year_Value.3562","latest.year_Value.3564","latest.year_Rank.3525","latest.year_Rank.3527","latest.year_Rank.3529","latest.year_Rank.3531","latest.year_Rank.3533","latest.year_Rank.3535","latest.year_Rank.3537","latest.year_Rank.3539","latest.year_Rank.3541","latest.year_Rank.3547","latest.year_Rank.3549","latest.year_Rank.3551","latest.year_Rank.3553","latest.year_Rank.3555","latest.year_Rank.3557","latest.year_Rank.3559","latest.year_Rank.3561","latest.year_Rank.3563","latest.year_Rank.3565","latest.value_Value.3524","latest.value_Value.3526","latest.value_Value.3528","latest.value_Value.3530","latest.value_Value.3532","latest.value_Value.3534","latest.value_Value.3536","latest.value_Value.3538","latest.value_Value.3540","latest.value_Value.3546","latest.value_Value.3548","latest.value_Value.3550","latest.value_Value.3552","latest.value_Value.3554","latest.value_Value.3556","latest.value_Value.3558","latest.value_Value.3560","latest.value_Value.3562","latest.value_Value.3564","latest.value_Rank.3525","latest.value_Rank.3527","latest.value_Rank.3529","latest.value_Rank.3531","latest.value_Rank.3533","latest.value_Rank.3535","latest.value_Rank.3537","latest.value_Rank.3539","latest.value_Rank.3541","latest.value_Rank.3547","latest.value_Rank.3549","latest.value_Rank.3551","latest.value_Rank.3553","latest.value_Rank.3555","latest.value_Rank.3557","latest.value_Rank.3559","latest.value_Rank.3561","latest.value_Rank.3563","latest.value_Rank.3565"
"Gabon","GAB",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.061025285,4.239569075,3.770572333,2.27662358,1.957336152,4.010475404,5.219073348,4.352718404,3.745104402,3.797897474,2.624880042,2.341313743,5.47935149,4.636744057,2.120800568,2.216544747,2.492525425,2.735282614,1.179389691,119,100,110,119,110,116,79,105,123,93,133,111,25,30,98,121,117,81,124
"United Kingdom","GBR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,5.202575392,5.744526007,4.186408111,5.576367808,5.302999641,5.858670578,5.436074088,5.829882538,5.49923496,6.190947315,4.97531013,4.242401259,2.827513947,4.70040711,5.203201668,5.363883814,6.162017943,4.641638182,5.9643611,5,18,73,5,8,4,63,49,12,7,38,20,135,24,8,11,7,16,7
"Georgia","GEO",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.701940612,5.319790406,4.339096668,3.171573469,1.977301903,5.262116622,5.957415984,6.1005101,4.775464266,4.45132371,4.900937944,3.134453954,4.90368306,4.417311714,2.200117834,3.283470632,4.031131941,2.391432524,1.563171283,70,37,60,76,109,22,32,36,51,67,41,66,66,42,90,63,70,106,81
"Ghana","GHA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.041722143,4.289630196,3.424888668,2.367686787,2.084682921,4.648927555,4.964970663,2.993401892,4.696241869,3.617816081,3.502633701,1.917238172,4.219519947,4.060162854,2.018777274,2.661492222,2.422790865,2.703434935,1.465930906,120,97,129,111,99,51,91,122,57,102,119,122,114,78,107,98,122,84,91
"Guinea","GIN",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2.578020701,3.195278893,3.210329192,1.859498777,2.046975941,3.379879942,4.952259231,2.513560917,3.191220905,1.939473468,2.957381919,1.751732454,4.323909915,3.808292481,1.543681016,2.090339458,1.944475857,2.759936582,1.3340153,140,138,139,141,88,134,93,137,137,133,137,131,97,96,138,137,140,74,104
"Gambia, The","GMB",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.122958858,4.139996532,4.070330524,2.530878619,1.750629757,4.249928673,5.606665823,3.576180222,3.982795929,3.261835314,4.842940177,2.05967695,5.337173327,4.041531642,1.845961908,2.960490462,2.786183485,2.343361391,1.157898123,112,105,86,104,123,90,50,116,114,110,46,120,36,83,119,84,107,111,128
"Greece","GRC",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.506269625,5.206163359,4.679171362,4.572693836,3.567049941,4.108736853,5.486349059,6.574291709,4.797956328,4.922053098,5.471383716,4.108211692,4.655842047,4.481247994,4.274511965,3.748090724,5.69547882,4.056809334,3.077290549,24,46,12,29,25,103,57,11,49,51,15,32,90,39,26,48,18,32,27
"Guatemala","GTM",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.506098628,4.143765301,4.442339046,2.757491578,2.680798588,4.447733628,3.573229789,4.583076465,4.14319123,3.804257026,4.428624633,3.943823364,5.640288053,3.756620136,1.853932619,2.682116163,3.736425952,3.715856591,1.645740586,86,104,45,95,56,67,135,98,104,92,82,44,16,104,118,97,81,45,73
"Guyana","GUY",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,3.259221531,4.109091944,4.30479099,2.839713447,1.783289743,4.433556664,4.571960031,4.515988111,3.980679562,3.043275353,4.110373033,3.654553993,5.272087823,4.182149111,3.232430443,3.102749033,2.183960865,2.43521112,1.131368365,104,102,46,99,116,70,111,99,113,108,98,51,25,62,49,90,135,101,129
"Hong Kong SAR, China","HKG",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.864213362,6.218279665,4.546701345,5.437372251,3.254500187,6.161055251,6.313562043,6.560822383,5.434393704,6.465107015,5.771445676,3.889735955,4.228407128,4.297216623,5.521908706,6.398568894,4.391639154,3.530646995,2.97835338,11,1,31,8,35,1,12,12,16,1,9,47,113,53,5,1,60,49,31
"Honduras","HND",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.487556628,3.972695425,4.536008246,2.941276138,2.500246705,4.168243039,3.636405101,4.554321587,4.302792828,3.383257565,4.963147542,4.160501697,4.686298169,4.334085575,2.174146015,2.966001083,3.683681316,3.482958605,1.517534805,90,112,33,88,63,97,133,100,91,107,39,27,84,48,94,83,83,53,85
"Croatia","HRV",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.418147241,5.184015831,4.459920611,4.397864835,3.630787689,4.012552811,5.996998112,6.375744667,4.388414576,5.049366411,4.497183908,4.16168092,4.44700542,4.733812194,3.047035133,3.887167575,6.259391796,4.495361119,2.76621426,32,48,40,36,21,114,28,19,85,47,77,26,100,21,52,46,5,20,39
"Haiti","HTI",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2.747685162,3.421254689,3.981280515,2.292834538,1.295370906,3.020983876,4.745974421,3.738008364,3.760762673,1.84054411,3.999002158,3.880896143,5.165330222,2.879893537,1.759639826,2.126275162,2.992588627,1.46352191,1.127219903,133,132,84,130,141,137,102,116,123,138,107,44,31,140,130,136,104,141,131
"Hungary","HUN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.055178509,5.211129173,4.607083146,3.963272984,2.439228734,4.167639646,5.793457785,6.630799449,4.660694896,4.879081643,4.89793654,4.165590401,4.658921783,4.70588386,3.004074019,4.447763618,4.437981315,2.611950232,2.266507236,49,45,20,46,68,98,39,9,60,54,42,25,87,23,55,30,57,88,45
"Indonesia","IDN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.15509229,4.468599115,4.774528414,3.363072629,4.014169001,4.538254583,5.155690044,4.298599498,4.636400539,3.812201109,5.580070967,4.267825202,6.002751169,3.247466317,3.774408709,3.196959386,3.117849791,4.746000654,3.282337349,42,87,5,66,16,60,83,108,64,91,12,17,5,131,36,69,96,14,23
"India","IND",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.182856986,4.066610921,4.139459101,3.690727685,4.834630235,4.264138493,3.82195834,4.363682063,4.370270994,3.210077871,3.924296276,3.701568609,5.84753001,3.084441509,3.915754511,4.458022072,2.698406473,4.386126444,5.283134026,40,108,79,58,12,89,129,104,87,112,104,55,10,134,32,29,110,24,9
"Ireland","IRL",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.525045897,5.686582316,4.661426841,4.875232161,2.87694227,5.509699713,6.183327583,5.70847596,5.454533675,5.651946856,5.405935934,4.507975874,4.034769658,4.697025896,4.163707165,4.699312265,5.762677054,2.844060827,2.909823712,23,20,14,18,49,11,15,55,15,25,17,7,121,25,28,21,15,77,33
"Iran, Islamic Rep.","IRN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.426791756,4.431088179,4.050983553,2.613142345,2.611952946,4.338462245,4.892537059,4.723015054,4.133851485,3.791447648,3.553235354,2.384447645,6.660545463,3.605705749,2.201919546,3.104629862,2.532877627,2.445683936,2.778221956,93,91,90,101,60,79,96,93,105,94,117,109,1,119,89,75,116,100,38
"Iceland","ISL",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.498041716,5.967599101,4.713613453,4.826156194,2.484798116,5.325393187,6.542733072,6.070331664,5.756761084,6.114423706,6.027434629,4.40120249,3.577419482,4.848397211,4.685992175,3.968760813,5.823715595,3.495086979,1.474509254,25,6,9,20,65,19,4,38,1,11,3,9,132,15,17,42,13,52,90
"Israel","ISR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.844390048,5.279839951,3.54065587,4.28057917,2.276485199,5.006939103,4.85358886,6.058481333,5.242782879,5.466853941,4.565970402,2.53712222,3.133128895,3.926401963,3.228974411,4.214447396,5.398315704,2.550989656,2.001980743,61,40,123,40,85,32,99,39,21,32,73,99,133,91,47,36,26,93,57
"Italy","ITA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.992777675,5.087493352,4.262080808,4.998937966,5.622598574,3.866380951,5.680705646,6.182282852,4.608474107,5.365595324,4.541316105,4.132605176,3.880155817,4.494246133,4.360142789,4.673921469,5.96274964,4.782483885,6.462713263,8,57,67,16,5,121,48,30,67,37,75,29,124,37,23,22,11,12,5
"Jamaica","JAM",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.714632088,4.474495438,4.372115994,3.789639218,2.222277704,4.769335585,3.851113472,4.68331701,4.72052056,4.220490923,5.903790938,4.035926376,3.974447967,3.574298695,2.371164946,4.386308085,4.611444621,3.049676446,1.394878961,69,86,55,52,87,42,127,94,55,78,6,37,122,121,83,33,49,67,101
"Jordan","JOR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.632885755,5.14788473,4.349394155,3.263057023,1.77120711,4.816376216,5.790866465,5.540316377,4.515671466,5.086227613,5.27799855,3.292457301,4.784479191,4.042641577,2.612736895,3.036648223,4.139785952,2.262606471,1.279807749,75,53,57,71,121,41,41,61,74,44,22,63,81,82,69,79,66,117,118
"Japan","JPN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,5.263670498,5.840507019,4.683023821,5.110310843,5.420840311,5.311202094,6.048061512,6.426128142,5.248847699,6.143698041,5.358385508,4.383941414,4.607154057,4.382614303,4.602135397,5.401113433,5.327683698,4.311263221,6.5304174,4,13,11,13,7,20,22,17,20,10,18,10,94,45,18,10,29,26,4
"Kazakhstan","KAZ",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.591674194,5.380793497,4.066748377,2.825964416,2.093190488,4.929613681,5.315784618,6.693449465,4.822938362,4.913890441,4.265944963,2.270500943,5.902460298,3.828087302,2.568109667,2.795263415,3.114520165,2.551131122,1.635249853,81,34,88,92,96,36,72,6,47,52,93,113,8,99,71,91,97,92,75
"Kenya","KEN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.592097678,3.791665305,4.455765754,2.943653334,3.177306318,4.431447725,3.778340251,3.168115031,4.485384506,3.425233087,5.307276723,3.006626193,4.828206618,4.680953483,2.526725907,3.128721988,3.175512106,4.727872442,1.626740195,80,120,41,87,37,70,131,120,76,106,21,70,74,26,72,70,95,15,77
"Kyrgyz Republic","KGZ",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.104979086,4.615365349,3.777342293,2.040521221,1.986687481,4.398775255,4.883640299,5.760154197,4.372086051,3.586556439,3.639328952,2.298613018,5.454457256,3.716969948,1.874726024,2.050156233,2.196681406,2.417528386,1.555846577,115,75,109,128,108,73,97,53,86,103,112,112,28,108,115,128,128,104,82
"Cambodia","KHM",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.315400968,4.103845062,4.239248668,2.50465905,2.413851092,3.650001175,4.959025892,4.020314474,4.057925334,3.643204983,5.102504228,3.486495894,5.095780535,3.272214015,2.139146402,2.444765077,2.930065671,3.196911189,1.630790995,101,107,69,105,71,125,92,109,110,101,29,58,51,130,96,108,102,62,76
"Korea, Rep.","KOR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.568005325,5.597691881,4.437622302,4.617259914,3.619447204,4.747123337,5.445345291,6.354989623,4.886873192,6.183311233,4.643123381,4.281980498,4.657361338,4.168023989,4.268353539,4.984259103,4.5991671,2.29135711,4.947537297,19,24,47,27,22,44,61,20,43,8,63,14,88,63,27,17,50,114,12
"Kuwait","KWT",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.328275372,5.099641263,3.381028894,3.268183071,1.564248258,4.562353442,5.764375742,5.428968187,4.297796482,5.478869055,3.300155679,1.901916101,5.255632696,3.066411101,2.501235739,3.458974021,3.844339454,1.949376953,1.179119562,100,55,132,70,133,59,43,66,92,31,125,123,40,135,74,57,79,131,125
"Lao PDR","LAO",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.401430244,4.454219954,4.325917096,2.660811708,2.164772217,4.723402473,5.508902681,4.343879008,4.630161405,3.13500871,4.747302106,3.001096086,5.723597379,3.831672811,2.125594366,2.387431769,3.469408988,2.982155083,1.347389351,94,89,63,99,91,47,56,106,65,115,54,71,14,98,97,111,86,71,107
"Lebanon","LBN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.371947661,4.357858206,4.179821357,3.193320668,1.756790412,4.210620783,3.814876085,5.91175997,3.808918419,4.286130212,5.049326459,2.502352687,5.47187694,3.695729341,2.373489351,2.91908371,4.287388944,2.085448467,1.428132357,96,94,74,74,122,95,130,47,120,76,33,100,27,110,81,86,64,128,97
"Sri Lanka","LKA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.814680181,4.724750581,4.430619171,3.247971348,2.855379626,4.685858296,5.577897725,5.283037248,4.474805042,3.650437545,5.158693138,3.114088654,5.553029265,3.896665626,2.619354864,3.904710316,3.219848863,4.062402475,1.648356777,64,71,48,72,50,50,53,71,78,100,26,67,20,93,68,45,94,31,72
"Lesotho","LSO",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.837841121,3.883428861,4.00652244,1.905131131,1.55628205,4.2350557,4.41861355,2.937675279,3.622294445,3.209456609,4.666631725,1.658808073,4.992443597,4.708206366,1.304464197,1.922756632,2.488172565,2.092125147,1.020438954,128,116,93,132,134,93,116,124,128,113,60,129,57,22,136,134,118,126,136
"Lithuania","LTU",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.914711959,5.528996781,4.523323766,3.738388286,1.868139004,4.627324675,5.560183166,6.808108774,5.023347674,5.455598748,4.272409551,4.006167643,5.367274029,4.447443842,2.402957345,4.387211264,4.424996249,2.231815397,1.50446261,56,28,35,54,116,53,54,2,31,33,91,40,33,41,78,32,58,121,87
"Luxembourg","LUX",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.492991322,5.978890806,4.788092031,5.007940122,2.197042331,5.803337156,6.459053841,6.26708751,5.347030695,6.161881292,4.843505747,4.271884442,4.552713998,5.484263935,3.584543018,5.532200202,5.907077146,2.65322303,1.740861631,28,5,4,15,89,7,6,26,18,9,44,15,96,4,41,8,12,86,68
"Latvia","LVA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.967905277,5.414739971,4.647460899,3.912711689,1.896708548,4.563381357,5.79281628,6.440259006,5.007048854,5.305596464,4.46803094,3.992922579,5.24915397,4.879736108,3.053459453,4.045565765,4.63910985,2.384743226,1.40867387,54,32,16,47,113,58,40,16,32,38,79,41,42,13,51,41,48,108,98
"Morocco","MAR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.81343696,4.71723605,4.150912658,3.325661874,3.059937259,4.688647072,5.826960431,4.567327217,3.918877534,4.272537621,5.033466908,2.660528469,5.186162667,3.723492588,2.768150762,3.380815725,3.828019137,3.619098353,2.500776164,65,72,76,68,41,49,37,99,117,77,35,91,47,107,63,60,80,47,41
"Moldova","MDA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.092272353,4.794600604,3.750978433,2.444942678,1.378567699,3.812150921,5.42909526,6.127770595,4.314381132,4.295314611,3.435135638,2.134052321,5.376322717,4.058403056,1.983691268,2.547078464,2.804058303,1.600650003,1.156485395,117,68,113,108,136,123,64,34,90,74,120,119,32,79,110,103,105,136,129
"Madagascar","MDG",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.987542037,3.559335286,3.987249862,2.177986635,2.225596366,3.617513722,4.659356176,3.325369798,3.758417511,2.074169578,4.354506049,2.965856452,5.031675568,3.596961379,1.842017345,2.003853539,2.688089022,3.052358486,1.398834247,121,127,95,124,86,126,106,119,122,133,84,74,55,120,120,132,112,66,100
"Mexico","MEX",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.536173748,4.50301747,4.340537063,3.854793865,5.446346593,4.182288967,4.0956797,5.261944091,4.567599812,4.341125274,5.08757948,3.729564998,4.921976879,3.623026895,3.684637412,3.199892827,4.679851354,5.629854248,5.262838939,22,84,59,50,6,96,124,72,70,70,30,53,63,116,39,68,43,2,10
"Macedonia, FYR","MKD",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.491504163,5.08788848,3.981478452,3.152535896,1.744113825,4.819732595,5.751196971,5.993108707,4.424781748,4.631546203,4.335271578,2.64090796,5.204748125,3.744986143,2.175578526,3.295395414,3.986633747,2.136157067,1.352070584,89,56,96,78,124,40,45,44,83,62,85,93,44,105,93,62,72,125,105
"Mali","MLI",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.784188542,3.145884357,3.663014994,2.184545974,2.143308842,4.082926011,4.152022519,2.556666065,3.114959361,2.385370578,3.754749708,1.592044733,4.986561547,4.318703987,1.702701149,2.27011807,2.580818702,2.534473338,1.752144346,130,134,119,123,93,106,122,133,133,128,109,132,59,52,125,119,115,95,65
"Malta","MLT",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.254681623,5.439764969,4.66805223,4.625951214,2.28495808,4.748843271,6.026158626,6.351538422,4.757646949,5.425382829,6.183209718,3.9563362,4.439871989,4.092791011,3.85541616,4.526398565,5.496038916,3.084032974,1.485883187,36,31,13,26,83,43,25,21,52,35,1,42,101,76,34,28,21,64,88
"Myanmar","MMR",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2.715416525,3.42260813,3.308584688,2.0664368,2.06403648,3.203973136,4.035749242,4.413825797,3.854723039,1.604769435,3.985664723,2.05373758,3.627146543,3.567789907,1.951219582,2.187150072,2.060940746,2.697058373,1.431014588,134,131,136,137,87,135,125,101,117,140,108,120,125,110,115,132,137,80,92
"Montenegro","MNE",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.68394671,4.964872062,4.058195957,3.86911201,1.843606814,4.357642641,5.689603523,5.803190628,4.462754044,4.831545857,4.643145388,2.44,4.816403302,4.333235137,3.008255429,3.234174556,5.364906044,2.579875077,1.107338551,72,61,89,49,118,77,47,52,79,56,62,105,77,49,54,65,28,90,132
"Mongolia","MNG",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.310296475,4.872652609,3.747974598,2.330762117,2.289796575,4.412974941,5.400082433,5.82138034,4.452596118,4.024260554,3.975006231,1.884523996,5.721659471,3.410708693,2.171581631,2.127260864,2.693443857,2.745617852,1.833975298,102,64,114,114,82,72,69,50,80,85,102,125,15,127,95,123,111,79,62
