"variable","description"
"wage_public_sector_wage_p.42318","wage Public sector wage premium by occupation (Professionals) (compared to formal wage employees)"
"wage_public_sector_wage_p.42319","wage Public sector wage premium by occupation (Senior officials) (compared to formal wage employees)"
"wage_public_sector_wage_p.42320","wage Public sector wage premium by occupation (Technicians) (compared to formal wage employees)"
"wage_public_sector_wage_p.42321","wage Public sector wage premiums by gender (Female) (compared to all private employees) (%)"
"wage_public_sector_wage_p.42322","wage Public sector wage premiums by gender (Male) (compared to all private employees) (%)"
"wage_relative_wage_of_pro.42323","wage Relative wage of Professionals in private sector (using clerk as reference)"
"wage_relative_wage_of_pro.42324","wage Relative wage of Professionals in public sector (using clerk as reference)"
"wage_relative_wage_of_sen.42325","wage Relative wage of Senior officials in private sector (using clerk as reference)"
"wage_relative_wage_of_sen.42326","wage Relative wage of Senior officials in public sector (using clerk as reference)"
"wage_relative_wage_of_tec.42327","wage Relative wage of Technicians in private sector  (using clerk as reference)"
"wage_relative_wage_of_tec.42328","wage Relative wage of Technicians in public sector (using clerk as reference)"
"percent_rural_resident_as.42329","percent Rural resident as a share of public paid employees"
"percent_rural_residents_a.42330","percent Rural residents as a share of private paid employees"
"percent_share_of_private_.42333","percent Share of private paid employees with social security"
"percent_share_of_public_p.42337","percent Share of public paid employees with social security"
"percent_share_of_private_.42331","percent Share of private paid employees with a contract"
"percent_share_of_private_.42332","percent Share of private paid employees with health insurance"
"percent_share_of_private_.42334","percent Share of private paid employees with union membership"
"percent_share_of_public_p.42335","percent Share of public paid employees with a contract"
"percent_share_of_public_p.42336","percent Share of public paid employees with health insurance"
"percent_share_of_public_p.42338","percent Share of public paid employees with union membership"
