"name","missing","unique","median","mode","mode_value","v","range","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load","type","label","Description","Importance","rank"
"isofriends_inperson",0.0063336454260065,9,1,1,NA,NA,7,1,54126,1.9742822303514,2.38205066569599,0,7,1.02078350489743,48.4778136010223,-0.313289499606921,-7.43932011552609,NA,NA,NA,NA,"integer","Contact friends","Days of in-person (face-to-face) contact with friends & relatives",0.00837565224572357,20
"recovered",0,752,1.64656171656119e-05,1.64656171656119e-05,NA,NA,0.00307152072446188,1,54471,9.88708201576321e-05,0.000259481876764215,0,0.00307152072446188,4.17042023860416,198.686716078951,19.5134353537655,464.837034978617,NA,NA,NA,NA,"numeric","C_recovered","Number of confirmed COVID-19 recoveries (country-level). Source: Johns Hopkins database.",0.00781858857212649,21
"ghsscore",0,27,59.8,59.8,NA,NA,45.5,1,54471,63.5308494428228,14.0284607772518,38,83.5,0.0653019794979894,3.11110994038652,-1.21792905958626,-29.0127557043987,NA,NA,NA,NA,"numeric","C_GHS","Global health security index: pandemic preparedness and health security (Country-level). Source: Global Health Security Index",0.00741586736637001,22
"consp",0.0049567659855703,40,6.66666666666667,6.66666666666667,NA,NA,10,3,55710,6.56,2.1,0,10,-0.46,-22.25,-0.03,-0.69,0.73,"Acceptable",0.47,0.83,"numeric","Conspiracy","Endorsement of conspiracy beliefs (3-items)",0.00723411293308485,23
"disc",0.000348809458243836,18,0.666666666666667,0.666666666666667,NA,NA,4,3,55979,0.64,0.77,-2,2,-0.45,-21.51,0.15,3.55,0.68,"Questionable",0.41,0.84,"numeric","Soc. Discontent","Concern about society (3-items, from Ernestine Gordijn)",0.0070830518561681,24
"isofriends_online",0.0215527528409612,9,5,5,NA,NA,7,1,53297,4.38992813854438,2.47781553502119,0,7,-0.453734159234858,-21.3825482023782,-1.16577375159437,-27.4694780712907,NA,NA,NA,NA,"integer","Online friends","Days of online (virtual) contact with friends & relatives",0.00682589005492644,25
"ecorca",0.00132180426281875,26,0,0,NA,NA,6,3,55900,-0.1,1.41,-3,3,-0.15,-7.13,-0.43,-10.36,0.65,"Questionable",0.59,0.68,"numeric","Econ. restrictive measures","Support for major governmental intervention in economy (raising taxes)",0.0064318066272858,26
"govteffectiveness",0,27,1.002136,1.002136,NA,NA,2.4352701,1,54471,0.799646046839603,0.766195198609821,-0.5848041,1.850466,-0.154210888176981,-7.34689868226751,-1.53426041813283,-36.5482064393289,NA,NA,NA,NA,"numeric","C_govt. effectiveness","Government effectiveness (country-level). Source: World Governance Indicators",0.00599475200079151,27
"c19know",0.000238659103008941,6,4,4,NA,NA,4,1,54458,3.7254765140108,0.84582772162471,1,5,-0.26494914099331,-12.6211724431279,-0.15562549475384,-3.70677229076849,NA,NA,NA,NA,"integer","COVID knowledge","How knowledgeable are you about the situation regarding the coronavirus? (from mass shooting studies)",0.00587155675064722,28
"houseleavewhy_1",0,2,0,0,NA,NA,1,1,54471,0.204769510381671,0.403536798218101,0,1,1.4631878478728,69.7090393455832,0.140921266261639,3.35693958480006,NA,NA,NA,NA,"integer","Leave for work","In the past week, how often did you leave your home? - Had to go to work",0.00565454746858821,29
"stringencyindex",0,71,75.93,75.93,NA,NA,79.63,1,54471,78.6697167300031,12.9063397388614,20.37,100,-0.651234341495352,-31.0260370194388,0.866286333967954,20.636139338041,NA,NA,NA,NA,"numeric","C_stringency",NA,0.00560776597108984,30
"nurses_and_midwifery_per_10k",0,27,73.891,73.891,NA,NA,132.402,1,54471,83.6598565291623,43.0704898438689,13.078,145.48,0.132572449156552,6.31600247899123,-1.29902536709363,-30.9445819792716,NA,NA,NA,NA,"numeric","C_nurses per 10k",NA,0.00548240440704059,31
"tightloose",0.00596647757522351,10,7,7,NA,NA,8,1,54146,6.08940641968012,2.44325453517548,1,9,-0.543842942564151,-25.8323012342783,-0.703205990013693,-16.70129644547,NA,NA,NA,NA,"integer","Loose norms",NA,0.00537287716463096,32
"regulatoryquality",0,27,0.9452896,0.9452896,NA,NA,2.8852451,1,54471,0.800496096519249,0.801705106106673,-0.8670051,2.01824,-0.123604326688931,-5.88874414516875,-1.35606120205722,-32.3032545006065,NA,NA,NA,NA,"numeric","C_regulatory quality",NA,0.00500318374408326,33
"airdepartures",0,27,0.0102844986408024,0.0102844986408024,NA,NA,0.0403302144214619,1,54471,0.0139907031380312,0.0112251882356911,0.00107658538644338,0.0414067998079053,0.742909602952293,35.3936200452337,-0.742633009637888,-17.6905460273405,NA,NA,NA,NA,"numeric","C_air travel",NA,0.00499114215176785,34
"countryiso3",0,28,NA,10912,"USA",0.931983559711834,NA,1,54471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"character","Country",NA,0.00493036942311894,35
"governmentresponseindex",0,86,71.47,71.47,NA,NA,67.31,1,54471,71.6998568045382,10.8586356523234,24.36,91.67,-0.725249728553746,-34.5522701932129,0.832315687179379,19.8269115191957,NA,NA,NA,NA,"numeric","C_Govt. response",NA,0.00481696363496594,36
"extc19msg",0.000936278019496613,7,4,4,NA,NA,5,1,54420,4.2433480338111,1.44637346986914,1,6,-0.525593785804268,-25.0285586368029,-0.612752313035676,-14.5897738765572,NA,NA,NA,NA,"integer","Clear messages",NA,0.0047250756415186,37
"c19eff",0.000605826953791926,8,1,1,NA,NA,6,1,54438,0.852143723134575,1.60896569075773,-3,3,-0.663059748578251,-31.5798520178935,-0.316712547016806,-7.54224569522292,NA,NA,NA,NA,"integer","COVID efficacy",NA,0.00468639225281268,38
"voiceaccountability",0,27,1.022638,1.022638,NA,NA,3.240676,1,54471,0.615206110366984,0.795637117874413,-1.644232,1.596444,-1.23933874499717,-59.0444442681185,0.84981987077471,20.2438853966634,NA,NA,NA,NA,"numeric","C_accountability","Voice and accountability (country-level). Source; World Governance indicators",0.00468169895737973,39
"controlcorruption",0,27,0.6041095,0.6041095,NA,NA,2.8827168,1,54471,0.591869340465569,0.895225943953321,-0.8736908,2.009026,0.0797530793530974,3.79958769794253,-1.39449610604018,-33.2188271039553,NA,NA,NA,NA,"numeric","C_control corruption",NA,0.00467854070689683,40
"para",0.00141359622551449,40,3.66666666666667,3.66666666666667,NA,NA,10,3,55901,3.93,2.19,0,10,0.29,14.02,-0.21,-4.96,0.69,"Questionable",0.41,0.91,"numeric","Paranoia",NA,0.00460859682327577,41
"containmenthealthindex",0,76,73.11,73.11,NA,NA,77.27,1,54471,74.9460700189091,11.6886744314863,19.7,96.97,-0.329181617071915,-15.6828354812196,0.410406133470726,9.77644206471095,NA,NA,NA,NA,"numeric","C_Containment health index",NA,0.00455725621078316,42
"neuro",0.000771052486644269,35,2.33333333333333,2.33333333333333,NA,NA,13,3,55946,0.08,1.3,-3,3,-0.02,-1.21,-0.38,-9.11,0.69,"Questionable",0.55,0.86,"numeric","Neuroticism",NA,0.00448971880409124,43
"ruleoflaw",0,27,0.9689376,0.9689376,NA,NA,2.6316811,1,54471,0.677538239193332,0.853005311437679,-0.8153201,1.816361,-0.161792769257987,-7.70811385184247,-1.54825551136157,-36.8815889279967,NA,NA,NA,NA,"numeric","C_rule of law",NA,0.00431779465535336,44
"houseleavewhy_4",0,2,0,0,NA,NA,1,1,54471,0.0558095133190138,0.229555611893728,0,1,3.86993224337554,184.37089906836,12.9766137990987,309.12089916918,NA,NA,NA,NA,"integer","Leave for meeting",NA,0.00428398833490686,45
"tourismexpenditures",0,27,5.96064163794602,5.96064163794602,NA,NA,13.0774190887115,1,54471,6.43354480799123,2.64356634697109,2.01651010072454,15.093929189436,1.49146707815615,71.0563154177231,2.44413358536772,58.222644466073,NA,NA,NA,NA,"numeric","C_tourism expenditures",NA,0.00426230415302306,46
"lifesat",0.000605826953791926,7,4,4,NA,NA,5,1,54438,4.12261655461259,1.23632207964667,1,6,-0.667148263807641,-31.7745776156905,-0.187201361330898,-4.45804460523288,NA,NA,NA,NA,"integer","Life satisfaction",NA,0.00392750829988964,47
"mlq",0.000642543738870225,8,1,1,NA,NA,6,1,54436,0.830002204423543,1.57225671869679,-3,3,-0.617751364237211,-29.4213882881656,-0.319610556521047,-7.61111957580654,NA,NA,NA,NA,"integer","Sense of purpose",NA,0.00381249007681552,48
"che_perc_of_gdp_2017",0,25,8.9,8.9,NA,NA,14.1,1,54471,9.53980099502488,4.39349033503918,3,17.1,0.567028225548035,27.0142982271545,-0.670067579552417,-15.9619370586297,NA,NA,NA,NA,"numeric","C_health expenditures",NA,0.00377437381362594,49
"ecohope",0.000826127664261717,8,1,1,NA,NA,6,1,54426,0.572097894388711,1.74361009589646,-3,3,-0.422364802843746,-20.1139458395549,-0.796590860061204,-18.9680575408106,NA,NA,NA,NA,"integer","Econ. hope",NA,0.00348474004042006,50
"posrefocus",0.000385526243322135,18,3,3,NA,NA,4,3,55973,3.1,0.91,1,5,-0.16,-7.88,-0.17,-4.1,0.85,"Good",0.75,0.85,"numeric","Refocus attention",NA,0.00333506518663741,51
"migrantthreat",0.00521378348111839,84,5.6,5.6,NA,NA,9,5,55643,5.43,2.32,1,10,-0.18,-8.82,-0.68,-16.25,0.91,"Excellent",0.75,0.89,"numeric","Migrant threat",NA,0.00328726746102255,52
"fail",0.000330451065704687,18,0,0,NA,NA,4,3,55981,-0.01,0.86,-2,2,-0.02,-0.92,-0.18,-4.37,0.66,"Questionable",0.48,0.72,"numeric","Struggling",NA,0.00326943147352895,53
"happy",0.000881202841879165,11,7,7,NA,NA,9,1,54423,6.33667750767139,2.02457276874447,1,10,-0.450005577453949,-21.4296700442288,-0.0892924334642959,-2.12613202759627,NA,NA,NA,NA,"integer","Happiness",NA,0.00324545814525021,54
"population",0,27,62137802,62137802,NA,NA,319514767,1,54471,119539528.990399,118058899.796111,7111024,326625791,0.933361453673271,44.4671067985914,-0.819555635535028,-19.5229494302553,NA,NA,NA,NA,"integer","C_Population size",NA,0.00323236163640104,55
"persrelsat",0.000642543738870225,11,7,7,NA,NA,9,1,54436,6.99665662429275,2.19292428072522,1,10,-0.695715667847485,-33.1345618753525,0.0823170753987399,1.96027662793808,NA,NA,NA,NA,"integer","Relat. Satis.",NA,0.00322353589735543,56
"pfs",0.000587468561252777,18,0,0,NA,NA,4,3,55962,0.12,1.05,-2,2,-0.1,-4.77,-0.66,-15.95,0.85,"Good",0.65,0.92,"numeric","Financial worries",NA,0.00321762891109429,57
"c19isstrict",0.00128508747774045,7,4,4,NA,NA,5,1,54401,4.1101266520836,1.39313727119241,1,6,-0.437900398383273,-20.8489954837711,-0.557651946281557,-13.2755035633515,NA,NA,NA,NA,"integer","Strict measures",NA,0.00299262415537795,58
"tempfocpast",0.000936278019496613,8,1,1,NA,NA,6,1,54420,0.673153252480706,1.66169492631759,-3,3,-0.536890021530375,-25.5664807087189,-0.567003228955242,-13.500477634677,NA,NA,NA,NA,"integer","Focus past",NA,0.00291513374588729,59
"ecoeff",0.001230012300123,8,0,0,NA,NA,6,1,54404,0.242132931402103,1.75543346757804,-3,3,-0.249329871379516,-11.8712399072778,-0.922793989282281,-21.9687077643599,NA,NA,NA,NA,"integer","Econ. efficacy",NA,0.00290175437716179,60
"tightnorms",0.00442437260193497,10,6,6,NA,NA,8,1,54230,5.55611285266458,2.51222737238581,1,9,-0.282578362833522,-13.4327551350875,-0.982798466790455,-23.3597760712827,NA,NA,NA,NA,"integer","Rigid norms",NA,0.00287693539809417,61
"economicsupportindex",0,9,62.5,62.5,NA,NA,100,1,54471,53.8518202346203,27.8529130655795,0,100,-0.548284404721871,-26.121307115072,-0.264272505230386,-6.29533680413473,NA,NA,NA,NA,"numeric","C_Economic support index",NA,0.00269714358746303,62
"csqecosuffer",0.0013768794404362,6,4,4,NA,NA,4,1,54396,3.88146187219649,1.13328718787667,1,5,-0.826848883248372,-39.3655189725344,-0.102026419670979,-2.42873689820685,NA,NA,NA,NA,"integer","Consequence economic",NA,0.00263082134107162,63
"feelingtherm",0.00277211727341154,10,60,60,NA,NA,100,1,54320,59.2951030927835,24.1822609155773,0,100,-0.329205233606382,-15.6622078407983,-0.0156933377731443,-0.373318551920988,NA,NA,NA,NA,"integer","Feeling migrants",NA,0.00246609474507872,64
"closepublictransport_flag",0.167336747994346,3,1,1,NA,NA,1,1,45356,0.567466266866567,0.495432855742739,0,1,-0.272346811891157,-11.8399102518269,-1.9258696737831,-41.8632158561002,NA,NA,NA,NA,"numeric","C_Close transport",NA,0.00239289915900501,65
"gender",0.00185419764645408,4,1,1,NA,NA,2,1,54370,1.39963215008277,0.499936405361848,1,3,0.52966404673846,25.2107938462335,-1.41717315040557,-33.7277160842369,NA,NA,NA,NA,"integer","Gender",NA,0.00236380412711258,66
"jbinsec",0.175322648748876,26,-0.5,-0.5,NA,NA,4,4,46018,-0.42,1.08,-2,2,0.38,16.71,-0.57,-12.39,0.81,"Good",0.63,0.88,"numeric","Job insecurity",NA,0.00235849751543532,67
"c19isorg",0.00124837069266215,7,4,4,NA,NA,5,1,54403,3.86357369997978,1.3970000735744,1,6,-0.275303136598215,-13.1077737654162,-0.650751899068266,-15.4921326820572,NA,NA,NA,NA,"integer","Organized measures",NA,0.00235311619376524,68
"tighttreat",0.00446108938701327,10,6,6,NA,NA,8,1,54228,5.66203806151804,2.56137227763358,1,9,-0.35848489343015,-17.0407633205874,-0.968501214317478,-23.0195254721779,NA,NA,NA,NA,"integer","Conform norms",NA,0.00233197064999521,69
"affanx",0.0104642837473151,6,3,3,NA,NA,4,1,53901,2.74345559451587,1.24869136664987,1,5,0.161932224867914,7.67428915546369,-1.04765005015304,-24.8255668882458,NA,NA,NA,NA,"integer","anxious",NA,0.00229704101962516,70
"plrac19",0.00183583925391493,9,4,4,NA,NA,7,1,54371,3.56868551249747,1.44147200090804,1,8,0.129538994145631,6.16581572356962,-0.0174098091732038,-0.41434492331337,NA,NA,NA,NA,"integer","Infection risk",NA,0.00228649513524563,71
"c19ispunish",0.00148702979567109,7,4,4,NA,NA,5,1,54390,3.47646626218055,1.59266055070456,1,6,-0.0409687502501389,-1.9503771548597,-1.07920763364012,-25.6890995605479,NA,NA,NA,NA,"integer","Punitive measures",NA,0.00219019153095936,72
"lone",5.50751776174478e-05,17,2.33333333333333,2.33333333333333,NA,NA,4,3,56005,2.39,1.02,1,5,0.43,20.68,-0.51,-12.33,0.82,"Good",0.76,0.82,"numeric","Loneliness",NA,0.00218897530340559,73
"coronaclose",0.000183583925391493,7,6,6,NA,NA,5,1,54461,5.42777400341529,1.11964356312826,1,6,-2.10782844501993,-100.411720149843,3.9086923034724,93.1019135501066,NA,NA,NA,NA,"integer","COVID close",NA,0.00209574545999941,74
"isoothppl_online",0.0260872757981311,9,2,2,NA,NA,7,1,53050,2.8515739868049,2.64332167834778,0,7,0.369300328367765,17.3631711580224,-1.34850978085814,-31.7016336531097,NA,NA,NA,NA,"integer","Online people",NA,0.00174568238887955,75
"plraeco",0.00190927282407152,9,4,4,NA,NA,7,1,54367,4.43923703717329,1.79370021865966,1,8,0.0270131082177679,1.28572652581627,-0.546699409998811,-13.0106993712326,NA,NA,NA,NA,"integer","Economic risk",NA,0.00162157636533533,76
"csqcancpln",0.0013034458702796,6,3,3,NA,NA,4,1,54400,3.23148897058824,1.35415817360811,1,5,-0.229215534630661,-10.9131431329072,-1.11883647196692,-26.6348591917364,NA,NA,NA,NA,"integer","Consequence cancel",NA,0.00155536771684677,77
"restrictionsongatherings_flag",0.101613702704191,3,1,1,NA,NA,1,1,48936,0.641082229851234,0.479687926146142,0,1,-0.588213040882451,-26.561743172068,-1.65403921733248,-37.3462159832766,NA,NA,NA,NA,"numeric","C_restrict gatherings",NA,0.00155469572706292,78
"age",0.00231315745993281,9,3,3,NA,NA,7,1,54345,2.99606219523415,1.6065221413982,1,8,0.485433529433209,23.1002102441907,-0.734486574144787,-17.4762407391332,NA,NA,NA,NA,"integer","Age",NA,0.00146731429877099,79
"affnerv",0.0114739953369683,6,2,2,NA,NA,4,1,53846,2.59800170857631,1.21690162622332,1,5,0.271965716151137,12.8824172330835,-0.967876463377481,-22.9235142864284,NA,NA,NA,NA,"integer","nervous",NA,0.00143419313980786,80
"houseleavewhy_2",0,2,0,0,NA,NA,1,1,54471,0.418351049182134,0.493292931353497,0,1,0.331030293299978,15.7709099168477,-1.89045364959682,-45.0332221524243,NA,NA,NA,NA,"integer","Leave for errands",NA,0.00139133023076473,81
"ecoknow",0.000881202841879165,6,3,3,NA,NA,4,1,54423,3.25919188578358,0.981863381102441,1,5,-0.1280360444172,-6.09719150849768,-0.247289556656762,-5.88818364669449,NA,NA,NA,NA,"integer","Econ. knowledge",NA,0.0013732324412065,82
"csqlife",0.00110150355234896,6,3,3,NA,NA,4,1,54411,3.25371707926706,1.26587283434308,1,5,-0.232063947498316,-11.0498753935489,-0.940938277022591,-22.4021048662678,NA,NA,NA,NA,"integer","Consequence routines",NA,0.00135226628647026,83
"contacttracing",0,3,1,1,NA,NA,2,1,54471,1.16540911677773,0.623828645067747,0,2,-0.132742138079528,-6.32408678055608,-0.535746171830997,-12.7622152378725,NA,NA,NA,NA,"numeric","C_Contact tracing",NA,0.00135064348082089,84
"employstatus",0.00681096363202438,6,3,3,NA,NA,4,1,54100,2.8858595194085,1.66495327296035,1,5,0.0321240050678344,1.52522789107914,-1.65397026113385,-39.2654681674819,NA,NA,NA,NA,"integer","Employ. Status",NA,0.00133385773915812,85
"discpers",0.0488333241541371,3,1,1,NA,NA,2,1,51811,0.766844878500704,0.641838674017358,-1,1,-2.38947919074073,-111.025104879734,3.7096824043863,86.1852716466503,NA,NA,NA,NA,"integer","Close friend",NA,0.0013290035261797,86
"internationaltravelcontrols",0,5,4,4,NA,NA,4,1,54471,3.45319527822144,0.817452613165988,0,4,-2.53806508152283,-120.918225835967,8.27550440423075,197.133967467845,NA,NA,NA,NA,"numeric","C_Intl. travel restrictions",NA,0.00131597022764041,87
"affexc",0.0144296965357713,6,2,2,NA,NA,4,1,53685,2.12754028127037,1.10608025266527,1,5,0.653577986075121,30.9122350968178,-0.458943752201153,-10.8535183963836,NA,NA,NA,NA,"integer","excited",NA,0.00128241548238995,88
"affexh",0.0131813258431092,6,2,2,NA,NA,4,1,53753,2.48049411195654,1.22240182594484,1,5,0.373635894969394,17.6830202224624,-0.923657516851485,-21.8573196264778,NA,NA,NA,NA,"integer","exhausted",NA,0.00112558333189653,89
"affenerg",0.0134934185162747,6,3,3,NA,NA,4,1,53736,2.54237382760161,1.09595052857255,1,5,0.211867058278112,10.0254206941734,-0.686190582228247,-16.235363162399,NA,NA,NA,NA,"integer","energetic",NA,0.00111362307686057,90
"testingpolicy",0,4,1,1,NA,NA,3,1,54471,1.74336803069523,0.915500423961109,0,3,0.319072128282031,15.2012002948406,-1.3754734937157,-32.7656821527894,NA,NA,NA,NA,"numeric","C_testing",NA,0.00109887956779036,91
"affcalm",0.0106845844577849,6,3,3,NA,NA,4,1,53889,2.90278164374919,1.09698620344327,1,5,-0.0433287068705453,-2.05320473631747,-0.709312243310594,-16.8062975353184,NA,NA,NA,NA,"integer","calm",NA,0.00109828348625178,92
"stayathomerequirements_flag",0.0490536248646069,3,1,1,NA,NA,1,1,51799,0.601111990578969,0.489674375914494,0,1,-0.41296846862173,-19.1860042349149,-1.82949236187334,-42.4987964014011,NA,NA,NA,NA,"numeric","C_stay home",NA,0.00107512827476166,93
"affrel",0.0123368397863083,6,3,3,NA,NA,4,1,53799,2.72469748508337,1.11588717151537,1,5,0.100552019428032,4.7608487702479,-0.761515392312016,-18.0281162885639,NA,NA,NA,NA,"integer","relaxed",NA,0.00107353219274745,94
"affdepr",0.0123919149639258,6,2,2,NA,NA,4,1,53796,2.24702580117481,1.20007337917502,1,5,0.64252387368501,30.4208083170136,-0.632217306444072,-14.9666959789555,NA,NA,NA,NA,"integer","depressed",NA,0.00106888226871198,95
"edu",0.0037267536854473,8,5,5,NA,NA,6,1,54268,4.34062430898504,1.4335263130112,1,7,-0.284169394459601,-13.5131187365545,-0.599225903322236,-14.2477693417876,NA,NA,NA,NA,"integer","Education",NA,0.00104834049290757,96
"debtcontractrelief",0,3,1,1,NA,NA,2,1,54471,1.13985423436324,0.664207129956916,0,2,-0.163726968466119,-7.80026276416282,-0.762927042542701,-18.1739779762624,NA,NA,NA,NA,"numeric","C_Debt relief",NA,0.000998673810370358,97
"affbor",0.0107580180279415,6,3,3,NA,NA,4,1,53885,2.73675419875661,1.32420672991021,1,5,0.195758652228376,9.27601362832487,-1.14874284069254,-27.2170651125711,NA,NA,NA,NA,"integer","bored",NA,0.000925431236697909,98
"affcontent",0.0124837069266215,6,3,3,NA,NA,4,1,53791,2.64298860404157,1.10138543752211,1,5,0.104090198657954,4.92800495361409,-0.740786081328185,-17.5360667108171,NA,NA,NA,NA,"integer","content",NA,0.00091670433431987,99
"affinsp",0.0141359622551449,6,2,2,NA,NA,4,1,53701,2.41079309510065,1.14208395496465,1,5,0.360494936624454,17.0528458104973,-0.760231154302413,-17.9813150152077,NA,NA,NA,NA,"integer","inspired",NA,0.000831201094262836,100
"houseleavewhy_7",0,2,0,0,NA,NA,1,1,54471,0.186172458739513,0.389249349285608,0,1,1.61244600905437,76.819980736726,0.599993148036192,14.2926671231578,NA,NA,NA,NA,"integer","Leave for leisure",NA,0.000760567723600782,101
"restrictionsoninternalmovement_flag",0.0296120871656478,3,1,1,NA,NA,1,1,52858,0.555242347421393,0.496943613560478,0,1,-0.222324226755059,-10.4339525369855,-1.95060883993609,-45.7731155500613,NA,NA,NA,NA,"numeric","C_restrict mobility",NA,0.000665116563236785,102
"houseleavewhy_6",0,2,0,0,NA,NA,1,1,54471,0.22377044665969,0.416773826819724,0,1,1.32553660731301,63.1510736283987,-0.242957161964985,-5.78757582902131,NA,NA,NA,NA,"integer","Leave for other",NA,0.000572750988805642,103
