Category,Information,Source,URL,Progress,Folder,License,Reference
Society,Poverty and Equity Data,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/3755/data.csv,Done,WB_POV_EQUITY,CC-BY 4.0,
Mobility,Travel services,World Bank,https://data.worldbank.org/indicator/TX.VAL.TRVL.ZS.WT,Done,WB_TXVALTRVLZSWT,CC-BY 4.0,
Society,Rural population (% of total population),World Bank,https://data.worldbank.org/indicator/SP.RUR.TOTL.ZS,Done,WB_SPRURTOTLZS,CC-BY 4.0,
Society,Urban population (% of total population),World Bank,https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS,Done,WB_SPURBTOTLINZS,CC-BY 4.0,
Society,Population living in slums (% of urban population),World Bank,https://data.worldbank.org/indicator/EN.POP.SLUM.UR.ZS,Done,WB_ENPOPSLUMURZS,CC-BY 4.0,
Society,Population growth (annual %),World Bank,https://data.worldbank.org/indicator/SP.POP.GROW,Done,SPPOPGROW,CC-BY 4.0,
Society,Net migration,World Bank,https://data.worldbank.org/indicator/SM.POP.NETM,Done,WB_SMPOPNETM,CC-BY 4.0,
Society,Poverty headcount ratio at Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population).90 a day (2011 PPP) (% of population),World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY,Done,WB_SIPOVDDAY,CC-BY 4.0,
Health,Mortality rate under-5 (per 1000 live births),World Bank,https://data.worldbank.org/indicator/SH.DYN.MORT,Done,WB_SHDYNMORT,CC-BY 4.0,
Health,Incidence of tuberculosis (per 100000 people),World Bank,https://data.worldbank.org/indicator/SH.TBS.INCD,Done,WB_SHTBSINCD,CC-BY 4.0,
Health,Prevalence of HIV total (% of population ages 15-49),World Bank,https://data.worldbank.org/indicator/SH.DYN.AIDS.ZS,Done,WB_SHDYNAIDSZS,CC-BY 4.0,
Economics,GDP per capita (current US$),World Bank,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Done,WB_NYGDPPCAPCD,CC-BY 4.0,
Mobility,Imports of goods and services (% of GDP),World Bank,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS,Done,WB_NEIMPGNFSZS,CC-BY 4.0,
Economics,Inflation consumer prices (annual %),World Bank,https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG,Done,WB_FPCPITOTLZG,CC-BY 4.0,
Education,Government expenditure on education total (% of GDP),World Bank,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,Done,WB_SEXPDTOTLGDZS,CC-BY 4.0,
Education,Government expenditure per student primary (% of GDP per capita),World Bank,https://data.worldbank.org/indicator/SE.XPD.PRIM.PC.ZS,Done,WB_SEXPDPRIMPCZS,CC-BY 4.0,
Education,Government expenditure per student secondary (% of GDP per capita),World Bank,https://data.worldbank.org/indicator/SE.XPD.SECO.PC.ZS,Done,WB_SEXPDSECOPCZS,CC-BY 4.0,
Education,Government expenditure per student tertiary (% of GDP per capita),World Bank,https://data.worldbank.org/indicator/SE.XPD.TERT.PC.ZS,Done,WB_SEXPDTERTPCZS,CC-BY 4.0,
Society,Literacy rate adult total (% of people ages 15 and above),World Bank,https://data.worldbank.org/indicator/SE.ADT.LITR.ZS,Done,WB_SEADTLITRZS,CC-BY 4.0,
Society,Population ages 15-64 (% of total population),World Bank,https://data.worldbank.org/indicator/SP.POP.1564.TO.ZS,Done,WB_SPPOP1564TOZS,CC-BY 4.0,
Society,Population ages 65 and above (% of total population),World Bank,https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS,Done,WB_SPPOP65UPTOZS,CC-BY 4.0,
Health,Life expectancy at birth total (years),World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN,Done,WB_SPDYNLE00IN,CC-BY 4.0,
Economics,Unemployment total (% of total labor force) (modeled ILO estimate),World Bank,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS,Done,WB_SLUEMTOTLZS,CC-BY 4.0,
Society,Adolescent fertility rate (births per 1000 women ages 15-19)),World Bank,https://data.worldbank.org/indicator/SP.ADO.TFRT,Done,WB_SPADOTFRT,CC-BY 4.0,
Health,Hospital beds (per 1000 people),World Bank,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS,Done,WB_SHMEDBEDSZS,CC-BY 4.0,
Mobility,Air transport registered carrier departures worldwide,World Bank,https://data.worldbank.org/indicator/IS.AIR.DPRT,Done,WB_ISAIRDPRT,CC-BY 4.0,
Society,Mobile cellular subscriptions (per 100 people),World Bank,https://data.worldbank.org/indicator/IT.CEL.SETS.P2,Done,WB_ITCELSETSP2,CC-BY 4.0,
Society,Population density (people per sq. km of land area),World Bank,https://data.worldbank.org/indicator/EN.POP.DNST,Done,WB_ENPOPDNST,CC-BY 4.0,
Mobility,International tourism expenditures (% of total imports),World Bank,https://data.worldbank.org/indicator/ST.INT.XPND.MP.ZS,Done,WB_STINTXPNDMPZS,CC-BY 4.0,
Economics,Vulnerable employment female (% of female employment) (modeled ILO estimate),World Bank,https://data.worldbank.org/indicator/SL.EMP.VULN.FE.ZS,Done,WB_SLEMPVULNFEZS,CC-BY 4.0,
Economics,Vulnerable employment male (% of male employment) (modeled ILO estimate),World Bank,https://data.worldbank.org/indicator/SL.EMP.VULN.MA.ZS,Done,WB_SL.EMPVULNMAZS,CC-BY 4.0,
Society,Statistics from population censuses and future trends (July 2020 estd),World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2119.txt,Done,FCTB_POPULATION,Public Domain,
Society,Median age,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2177.txt,Done,FCTB_MEDIAN,Public Domain,
Society,Population growth rate,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2002.txt,Done,FCTB_POPULATION_GROWTH,Public Domain,
Society,Birth rate: Average annual number of births during a year per 1000 persons,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2054.txt,Done,FCTB_BIRTH_RATE,Public Domain,
Society,Death rate: Average annual number of deaths during a year per 1000 population,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2066.txt,Done,FCTB_DEATH_RATE,Public Domain,
Society,Net migration: Difference between persons entering and leaving a country per 1000 persons,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2112.txt,Done,FCTB_MIGRATION_RATE,Public Domain,
Health,Maternal mortaility,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2223.txt,Done,FCTB_MATERNAL_MORTALITY,Public Domain,
Health,Infant mortality rate,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2091.txt,Done,FCTB_INFANT_MORTALITY,Public Domain,
Health,Life expectancy at birth,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2102.txt,Done,FCTB_LIFE_EXPECTANCY,Public Domain,
Society,Total fertility rate,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2127.txt,Done,FCTB_FERTILITY_RATE,Public Domain,
Health,Health expenditures,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2225.txt,Done,FCTB_HEALTH_EXPENDITURES,Public Domain,
Health,HIV/AIDS - adult prevalence rate,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2155.txt,Done,FCTB_HIV_RATE_ADULT,Public Domain,
Health,HIV/AIDS - people living with HIV/AIDS,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2156.txt,Done,FCTB_HIV_RATE_ALL,Public Domain,
Health,HIV/AIDS - deaths,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2157.txt,Done,FCTB_HIV_DEATHS,Public Domain,
Society,Obesity - adult prevalence rate,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2228.txt,Done,FCTB_OBESITY,Public Domain,
Socienty,Children under the age of 5 years underweight,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2224.txt,Done,FCTB_CHILDREN_UNDERWEIGHT,Public Domain,
Education,Education expenditures,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2206.txt,Done,FCTB_EDUCATION_EXPENDITURES,Public Domain,
Economics,Unemployment youth ages 15-24,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2229.txt,Done,FCTB_UNEMPLOYMENT_YOUTH,Public Domain,
Economics,Airports compares the total number of airports or airfields recognizable from the air,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2053.txt,Done,FCTB_AIRPORTS,Public Domain,
Economics,Railways compares the total route length of the railway network,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2121.txt,Done,FCTB_RAILWAYS,Public Domain,
Economics,Roadways compares the total length of the road network,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2085.txt,Done,FCTB_ROADWAYS,Public Domain,
Economics,Waterways compares the total length of navigable rivers canals and other,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2093.txt,Done,FCTB_WATERWAYS,Public Domain,
Economics,Merchant marine compares all publicly or privately owned commercial ships,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/rankorder/rawdata_2108.txt,Done,FCTB_MERCHANT_MARINE,Public Domain,
