"country","countryiso3","latest.year_SE.XPD.SECO.PC.ZS","latest.value_SE.XPD.SECO.PC.ZS"
"Japan","JPN",2016,24.05154
"Jordan","JOR",2018,15.58689
"Kazakhstan","KAZ",2016,21.20877
"Kenya","KEN",NA,NA
"Korea, Rep.","KOR",2016,28.17817
"Kuwait","KWT",2014,17.29438
"Lao PDR","LAO",2014,12.53244
"Late-demographic dividend","LTE",2013,20.0836
"Latin America & Caribbean","LCN",2016,15.0163
"Latin America & Caribbean (excluding high income)","LAC",2016,14.91552
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2016,15.0163
"Latvia","LVA",2016,26.43476
"Least developed countries: UN classification","LDC",NA,NA
"Lebanon","LBN",2013,6.3953
"Lesotho","LSO",2018,29.99591
"Liberia","LBR",2015,17.73005
"Liechtenstein","LIE",NA,NA
"Lithuania","LTU",2016,17.89823
"Low income","LIC",NA,NA
"Luxembourg","LUX",2015,19.40807
"Macao SAR, China","MAC",NA,NA
"Madagascar","MDG",NA,NA
"Malawi","MWI",2016,24.02977
"Malaysia","MYS",2018,22.81098
"Mali","MLI",2017,25.49535
"Malta","MLT",2015,29.54522
"Marshall Islands","MHL",NA,NA
"Mauritania","MRT",2016,14.17252
"Mauritius","MUS",2018,31.32456
"Mexico","MEX",2016,14.42638
"Middle East & North Africa (excluding high income)","MNA",NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA
"Moldova","MDA",2018,31.08682
"Monaco","MCO",2016,4.9479
"Mongolia","MNG",NA,NA
"Morocco","MAR",NA,NA
"Mozambique","MOZ",2013,50.23933
"Myanmar","MMR",2018,10.30288
"Namibia","NAM",NA,NA
"Nepal","NPL",2015,10.45324
"Netherlands","NLD",2016,23.12418
"New Zealand","NZL",2016,21.11448
"Nicaragua","NIC",NA,NA
"Niger","NER",2017,17.13543
"North America","NAC",2016,22.1348
"Norway","NOR",2016,26.78578
"OECD members","OED",2016,22.30415
"Oman","OMN",2017,36.02522
"Other small states","OSS",NA,NA
"Pakistan","PAK",2015,16.02248
"Panama","PAN",NA,NA
"Paraguay","PRY",2016,11.92418
"Peru","PER",2018,14.64931
"Philippines","PHL",NA,NA
"Poland","POL",2016,22.56102
"Portugal","PRT",2015,27.69333
"Post-demographic dividend","PST",2016,23.048605
"Puerto Rico","PRI",2014,20.17815
"Qatar","QAT",NA,NA
"Romania","ROU",2016,15.1606
"Rwanda","RWA",2018,21.67381
"Samoa","WSM",2016,13.02062
"San Marino","SMR",NA,NA
"Sao Tome and Principe","STP",2014,8.55706
"Saudi Arabia","SAU",NA,NA
"Senegal","SEN",2018,11.4156
"Serbia","SRB",2015,11.11718
"Seychelles","SYC",2016,15.29976
"Sierra Leone","SLE",2017,14.26684
"Singapore","SGP",2017,21.63771
"Slovak Republic","SVK",2016,20.08462
"Slovenia","SVN",2016,23.0407
"Small states","SST",NA,NA
"South Africa","ZAF",2018,21.375
"South Asia","SAS",2016,11.98575
"South Asia (IDA & IBRD)","TSA",2016,11.98575
"South Sudan","SSD",2016,11.94795
"Spain","ESP",2016,18.88163
"Sri Lanka","LKA",2018,7.6737
"St. Kitts and Nevis","KNA",2016,17.55246
"St. Lucia","LCA",2018,22.74112
"St. Vincent and the Grenadines","VCT",2018,20.13922
"Sweden","SWE",2016,23.75742
"Switzerland","CHE",2015,24.45516
"Syrian Arab Republic","SYR",NA,NA
"Tanzania","TZA",2014,14.94763
"Thailand","THA",2013,17.99841
"Timor-Leste","TLS",2014,7.92381
"Togo","TGO",NA,NA
"Tonga","TON",NA,NA
"Tunisia","TUN",2015,52.39924
"Turkey","TUR",2016,13.5129
"Turks and Caicos Islands","TCA",2018,18.42415
"Ukraine","UKR",2017,30.26498
"United Arab Emirates","ARE",NA,NA
"United Kingdom","GBR",2016,21.18688
"United States","USA",2016,22.1348
"Upper middle income","UMC",NA,NA
"Uruguay","URY",2017,16.15909
"Vanuatu","VUT",2015,21.02094
"Venezuela, RB","VEN",2015,14.79092
"World","WLD",2013,20.0836
"Yemen, Rep.","YEM",NA,NA
"Zimbabwe","ZWE",2013,22.24428
