"country","countryiso3","latest.year_score_consultation_on_pro.40853","latest.value_score_consultation_on_pro.40853","latest.year_score_publication_of_forw.40868","latest.value_score_publication_of_forw.40868","latest.year_score_laws_are_made_publi.40869","latest.value_score_laws_are_made_publi.40869","latest.year_score_report_back_on_the_.40994","latest.value_score_report_back_on_the_.40994","latest.year_score_conduct_regulatory_.40995","latest.value_score_conduct_regulatory_.40995","latest.year_score_regulatory_governan.41031","latest.value_score_regulatory_governan.41031"
"Gabon","GAB",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"United Kingdom","GBR",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Georgia","GEO",2018,1,2018,0.75,2018,1,2018,0.25,2018,0.75,2018,3.75
"Ghana","GHA",2018,0.5,2018,0,2018,0.5,2018,0,2018,0,2018,1
"Guinea","GIN",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Gambia, The","GMB",2018,0.25,2018,0.75,2018,0,2018,0.25,2018,0,2018,1.25
"Guinea-Bissau","GNB",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"Greece","GRC",2018,1,2018,0,2018,1,2018,1,2018,1,2018,4
"Grenada","GRD",2018,0.25,2018,0,2018,1,2018,0,2018,0,2018,1.25
"Guatemala","GTM",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Guyana","GUY",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Hong Kong SAR, China","HKG",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Honduras","HND",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Croatia","HRV",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Haiti","HTI",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Hungary","HUN",2018,1,2018,1,2018,1,2018,1,2018,0.75,2018,4.75
"Indonesia","IDN",2018,0.5,2018,1,2018,1,2018,0,2018,0.75,2018,3.25
"India","IND",2018,0.75,2018,1,2018,1,2018,0.75,2018,0,2018,3.5
"Ireland","IRL",2018,0.75,2018,1,2018,1,2018,0.75,2018,0.75,2018,4.25
"Iran, Islamic Rep.","IRN",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Iraq","IRQ",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Iceland","ISL",2018,1,2018,0.75,2018,1,2018,1,2018,1,2018,4.75
"Israel","ISR",2018,1,2018,0,2018,1,2018,0.75,2018,0.75,2018,3.5
"Italy","ITA",2018,1,2018,1,2018,1,2018,0.75,2018,1,2018,4.75
"Jamaica","JAM",2018,0.5,2018,0.75,2018,1,2018,0.25,2018,0.5,2018,3
"Jordan","JOR",2018,1,2018,0,2018,1,2018,0,2018,0,2018,2
"Japan","JPN",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Kazakhstan","KAZ",2018,1,2018,0.75,2018,1,2018,1,2018,1,2018,4.75
"Kenya","KEN",2018,0.75,2018,0,2018,1,2018,0.5,2018,1,2018,3.25
"Kyrgyz Republic","KGZ",2018,1,2018,0.75,2018,1,2018,0,2018,1,2018,3.75
"Cambodia","KHM",2018,0.75,2018,0,2018,0,2018,0.25,2018,0.75,2018,1.75
"Kiribati","KIR",2018,0,2018,1,2018,0,2018,0,2018,0,2018,1
"St. Kitts and Nevis","KNA",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Korea, Rep.","KOR",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Kuwait","KWT",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Lao PDR","LAO",2018,1,2018,0,2018,1,2018,0,2018,1,2018,3
"Lebanon","LBN",2018,0.25,2018,0,2018,1,2018,0,2018,0,2018,1.25
"Liberia","LBR",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Libya","LBY",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"St. Lucia","LCA",2018,0.5,2018,0.75,2018,0.5,2018,0.25,2018,0,2018,2
"Sri Lanka","LKA",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Lesotho","LSO",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Lithuania","LTU",2018,1,2018,1,2018,1,2018,0.25,2018,0.75,2018,4
"Luxembourg","LUX",2018,1,2018,1,2018,1,2018,1,2018,0.5,2018,4.5
"Latvia","LVA",2018,1,2018,0,2018,1,2018,0.25,2018,0.75,2018,3
"Morocco","MAR",2018,1,2018,1,2018,1,2018,1,2018,0,2018,4
"Moldova","MDA",2018,1,2018,1,2018,1,2018,0.75,2018,1,2018,4.75
"Madagascar","MDG",2018,0,2018,0.75,2018,1,2018,0,2018,0.75,2018,2.5
"Mexico","MEX",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Marshall Islands","MHL",2018,0.5,2018,0,2018,0,2018,0,2018,0,2018,0.5
"Macedonia, FYR","MKD",2018,1,2018,0.75,2018,1,2018,0,2018,1,2018,3.75
"Mali","MLI",2018,0,2018,0.75,2018,0.5,2018,0,2018,0,2018,1.25
"Malta","MLT",2018,1,2018,1,2018,1,2018,1,2018,0.5,2018,4.5
"Myanmar","MMR",2018,0.75,2018,0,2018,0.5,2018,0.75,2018,0,2018,2
"Montenegro","MNE",2018,0.75,2018,1,2018,1,2018,0.75,2018,0.75,2018,4.25
"Mongolia","MNG",2018,0.75,2018,0,2018,1,2018,1,2018,1,2018,3.75
"Mozambique","MOZ",2018,0.5,2018,0,2018,1,2018,0.25,2018,1,2018,2.75
"Mauritania","MRT",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"Mauritius","MUS",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Malawi","MWI",2018,0.75,2018,0,2018,0.5,2018,0,2018,0,2018,1.25
"Malaysia","MYS",2018,0.75,2018,1,2018,1,2018,0.75,2018,0.75,2018,4.25
"Namibia","NAM",2018,0.5,2018,0,2018,0.5,2018,0.25,2018,0,2018,1.25
"Niger","NER",2018,0.5,2018,0.75,2018,0.5,2018,0.5,2018,0,2018,2.25
"Nigeria","NGA",2018,0.25,2018,0.75,2018,0.5,2018,0.25,2018,1,2018,2.75
"Nicaragua","NIC",2018,0.25,2018,0,2018,1,2018,0.5,2018,0.75,2018,2.5
"Netherlands","NLD",2018,1,2018,1,2018,1,2018,1,2018,0.75,2018,4.75
"Norway","NOR",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Nepal","NPL",2018,0,2018,0.75,2018,1,2018,0,2018,0,2018,1.75
"New Zealand","NZL",2018,1,2018,0.5,2018,1,2018,0.75,2018,1,2018,4.25
"Oman","OMN",2018,0,2018,0.75,2018,0.5,2018,0,2018,0,2018,1.25
"Pakistan","PAK",2018,0.75,2018,0,2018,1,2018,0,2018,0,2018,1.75
"Panama","PAN",2018,0.5,2018,0,2018,1,2018,0.25,2018,0.5,2018,2.25
"Peru","PER",2018,0.75,2018,0,2018,1,2018,0,2018,0.75,2018,2.5
"Philippines","PHL",2018,0.75,2018,1,2018,1,2018,0,2018,0,2018,2.75
"Palau","PLW",2018,0.25,2018,0,2018,0,2018,0,2018,0,2018,0.25
"Papua New Guinea","PNG",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Poland","POL",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Puerto Rico","PRI",2018,0,2018,0,2018,1,2018,0,2018,0.5,2018,1.5
"Portugal","PRT",2018,0.75,2018,0,2018,1,2018,0.75,2018,1,2018,3.5
"Paraguay","PRY",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"West Bank and Gaza","PSE",2018,0,2018,0,2018,1,2018,0,2018,0.75,2018,1.75
"Qatar","QAT",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Romania","ROU",2018,1,2018,0,2018,1,2018,0.75,2018,0.75,2018,3.5
"Russian Federation","RUS",2018,1,2018,1,2018,1,2018,1,2018,0.75,2018,4.75
"Rwanda","RWA",2018,0.5,2018,1,2018,1,2018,0,2018,0,2018,2.5
"Saudi Arabia","SAU",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Sudan","SDN",2018,0.25,2018,0,2018,0,2018,0.5,2018,0,2018,0.75
"Senegal","SEN",2018,0.5,2018,0.75,2018,0,2018,0,2018,0,2018,1.25
"Singapore","SGP",2018,1,2018,0,2018,1,2018,1,2018,0.5,2018,3.5
"Solomon Islands","SLB",2018,0.5,2018,0,2018,1,2018,0.25,2018,0.5,2018,2.25
"Sierra Leone","SLE",2018,0.25,2018,0,2018,0.5,2018,0.25,2018,0,2018,1
"El Salvador","SLV",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"San Marino","SMR",2018,0.25,2018,1,2018,1,2018,0,2018,0,2018,2.25
"Serbia","SRB",2018,0.5,2018,1,2018,1,2018,1,2018,1,2018,4.5
"South Sudan","SSD",2018,0,2018,0.5,2018,0,2018,0,2018,0,2018,0.5
"Sao Tome and Principe","STP",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"Suriname","SUR",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Slovak Republic","SVK",2018,1,2018,1,2018,1,2018,0,2018,1,2018,4
"Slovenia","SVN",2018,1,2018,1,2018,1,2018,1,2018,0.75,2018,4.75
"Sweden","SWE",2018,0.5,2018,1,2018,1,2018,1,2018,1,2018,4.5
"Swaziland","SWZ",2018,0.5,2018,0,2018,0.5,2018,0,2018,0,2018,1
"Seychelles","SYC",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"Syrian Arab Republic","SYR",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Chad","TCD",2018,0,2018,1,2018,0,2018,0,2018,0,2018,1
"Togo","TGO",2018,0.25,2018,0,2018,1,2018,0,2018,0.5,2018,1.75
"Thailand","THA",2018,1,2018,0.75,2018,1,2018,1,2018,0.75,2018,4.5
"Tajikistan","TJK",2018,0.5,2018,0.75,2018,1,2018,0.5,2018,0,2018,2.75
"Timor-Leste","TLS",2018,0.5,2018,0,2018,1,2018,0.75,2018,0,2018,2.25
"Tonga","TON",2018,0.25,2018,0.5,2018,1,2018,0,2018,0,2018,1.75
"Trinidad and Tobago","TTO",2018,0,2018,0.75,2018,1,2018,0,2018,24,2018,1.75
"Tunisia","TUN",2018,1,2018,0,2018,1,2018,0,2018,0.5,2018,2.5
"Turkey","TUR",2018,0.75,2018,0.75,2018,1,2018,0,2018,0,2018,2.5
"Taiwan, China","TWN",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Tanzania","TZA",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Uganda","UGA",2018,0.5,2018,1,2018,1,2018,0,2018,0.75,2018,3.25
"Ukraine","UKR",2018,0.25,2018,0.75,2018,1,2018,0,2018,1,2018,3
"Uruguay","URY",2018,0.75,2018,0,2018,1,2018,0.75,2018,0,2018,2.5
"United States","USA",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Uzbekistan","UZB",2018,1,2018,0.75,2018,1,2018,1,2018,0,2018,3.75
"St. Vincent and the Grenadines","VCT",2018,0.25,2018,1,2018,1,2018,0,2018,0.5,2018,2.75
"Vietnam","VNM",2018,1,2018,0,2018,1,2018,0,2018,0.75,2018,2.75
"Vanuatu","VUT",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Samoa","WSM",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Yemen, Rep.","YEM",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"South Africa","ZAF",2018,1,2018,1,2018,1,2018,0,2018,1,2018,4
"Zambia","ZMB",2018,0.5,2018,0,2018,1,2018,0.5,2018,0,2018,2
"Zimbabwe","ZWE",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
