country,countryiso3,t.pm2.5.c.2016,u.pm2.5.c.2016,r.pm2.5.c.2016,t.ap.d.2016.total,t.ap.d.2016.lri,t.ap.d.2016.tblc,t.ap.d.2016.ihd,t.ap.d.2016.stroke,t.ap.d.2016.copd,ap.d.100k.2016.total,ap.d.100k.2016.lri,ap.d.100k.2016.tblc,ap.d.100k.2016.ihd,ap.d.100k.2016.stroke,ap.d.100k.2016.copd,ap.d.100k.as.2016.total,ap.d.100k.as.2016.lri,ap.d.100k.as.2016.tblc,ap.d.100k.as.2016.ihd,ap.d.100k.as.2016.stroke,ap.d.100k.as.2016.copd,t.ap.dal.2016.total,t.ap.dal.2016.lri,t.ap.dal.2016.tblc,t.ap.dal.2016.ihd,t.ap.dal.2016.stroke,t.ap.dal.2016.copd,ap.dal.100k.2016.total,ap.dal.100k.2016.lri,ap.dal.100k.2016.tblc,ap.dal.100k.2016.ihd,ap.dal.100k.2016.stroke,ap.dal.100k.2016.copd,ap.dal.100k.as.2016.total,ap.dal.100k.as.2016.lri,ap.dal.100k.as.2016.tblc,ap.dal.100k.as.2016.ihd,ap.dal.100k.as.2016.stroke,ap.dal.100k.as.2016.copd,t.ap.yll.2016.total,t.ap.yll.2016.lri,t.ap.yll.2016.tblc,t.ap.yll.2016.ihd,t.ap.yll.2016.stroke,t.ap.yll.2016.copd,t.hap.d.2016.total,t.hap.d.2016.lri,t.hap.d.2016.tblc,t.hap.d.2016.ihd,t.hap.d.2016.stroke,t.hap.d.2016.copd,hap.d.100k.2016.total,hap.d.100k.2016.lri,hap.d.100k.2016.tblc,hap.d.100k.2016.ihd,hap.d.100k.2016.stroke,hap.d.100k.2016.copd,hap.d.100k.as.2016.total,hap.d.100k.as.2016.lri,hap.d.100k.as.2016.tblc,hap.d.100k.as.2016.ihd,hap.d.100k.as.2016.stroke,hap.d.100k.as.2016.copd,t.hap.dal.2016.total,t.hap.dal.2016.lri,t.hap.dal.2016.tblc,t.hap.dal.2016.ihd,t.hap.dal.2016.stroke,t.hap.dal.2016.copd,hap.dal.100k.2016.total,hap.dal.100k.2016.lri,hap.dal.100k.2016.tblc,hap.dal.100k.2016.ihd,hap.dal.100k.2016.stroke,hap.dal.100k.2016.copd,hap.dal.100k.as.2016.total,hap.dal.100k.as.2016.lri,hap.dal.100k.as.2016.tblc,hap.dal.100k.as.2016.ihd,hap.dal.100k.as.2016.stroke,hap.dal.100k.as.2016.copd
Azerbaijan,AZE,18.2,18.5,17.8,4699,225,119,3302,789,263,48,2,1,34,8,3,56,2,1,40,10,3,121450,13943,3757,77538,19691,6520,1249,143,39,797,202,67,1354,144,39,873,224,75,118316,13804,3715,77151,18286,5360,746,72,48,428,124,72,8,1,0,4,1,1,9,1,1,5,2,1,21563,4509,1510,10481,3080,1766,222,46,16,108,32,18,236,46,15,116,35,20
Burundi,BDI,35.6,35.6,35.2,4036,2406,13,766,578,273,38,23,0,7,5,3,70,29,0,19,14,8,215951,166159,453,23009,18093,8238,2052,1579,4,219,172,78,2268,1208,9,482,377,192,213560,165869,445,22840,17712,6695,8324,5341,41,1254,1118,570,79,51,0,12,11,5,140,63,1,32,28,16,463396,369994,1387,37210,34337,17186,4403,3516,13,354,326,163,4696,2676,29,787,719,400
Belgium,BEL,12.9,13,9.4,4471,716,528,1664,629,933,39,6,5,15,6,8,16,2,2,6,2,3,75635,8882,12007,27204,10740,16802,666,78,106,240,95,148,339,35,61,125,47,72,70417,8817,11843,26763,9041,13952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,33.1,30.4,41.3,5217,3047,9,1039,767,355,48,28,0,10,7,3,84,37,0,23,16,8,257149,194541,311,28372,23474,10451,2365,1789,3,261,216,96,2640,1468,6,538,425,204,254501,194325,297,28206,22909,8763,9953,6228,25,1610,1386,704,92,57,0,15,13,6,156,75,0,36,29,16,508972,399241,861,43494,41514,20545,4681,3672,8,400,382,189,5068,2997,15,829,753,402
Burkina Faso,BFA,36.8,36.3,37.2,7182,4218,32,1753,841,338,39,23,0,9,5,2,87,37,0,30,13,6,357039,270277,1010,48935,26034,10784,1915,1449,5,262,140,58,2497,1310,13,679,341,154,353642,269923,997,48673,25375,8674,13131,8298,85,2627,1473,649,70,45,0,14,8,3,155,73,1,45,23,12,679571,533392,2688,72733,44593,20595,3645,2861,14,390,239,110,4597,2572,35,1016,586,295
Bangladesh,BGD,58.3,58.6,52.9,82396,10957,3311,26043,21928,20157,51,7,2,16,13,12,74,8,3,24,20,19,2580528,667387,90024,732725,612177,478215,1584,410,55,450,376,293,2087,415,77,624,528,443,2491640,664774,88448,725533,594447,418438,113202,16116,5940,31982,30124,29040,69,10,4,20,18,18,102,12,5,29,28,28,3601213,987085,164151,897408,825546,692361,2210,606,101,551,507,425,2905,613,140,765,713,642
Bulgaria,BGR,18.8,20.8,17.7,8613,266,428,4986,2266,667,121,4,6,70,32,9,53,2,3,31,13,4,172189,6925,11464,97640,42236,13924,2414,97,161,1369,592,195,1283,84,91,725,286,96,166721,6846,11370,97072,39419,12014,1612,90,184,749,397,191,23,1,3,11,6,3,10,1,1,5,2,1,33873,2337,4923,15124,7358,3960,475,33,69,212,103,56,262,29,39,115,51,27
Bahrain,BHR,69,69,70.7,218,25,20,131,21,21,15,2,1,9,1,1,40,5,4,23,4,5,6963,879,500,3941,768,875,489,62,35,277,54,61,873,103,83,473,93,121,6291,850,494,3869,626,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,17.6,19,15.6,84,14,4,43,19,4,22,4,1,11,5,1,20,4,1,10,4,1,2136,394,117,1046,467,112,546,101,30,267,119,29,500,104,26,237,107,26,2064,389,115,1036,441,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,27.3,29.7,24.3,3051,81,272,1597,821,280,87,2,8,45,23,8,44,1,4,23,12,4,61812,1737,6921,30666,16694,5793,1758,49,197,872,475,165,1005,38,117,496,266,89,58973,1686,6845,30345,15268,4829,2985,113,488,1272,762,352,85,3,14,36,22,10,43,2,8,18,11,5,62467,2413,12358,24749,14950,7207,1776,69,351,704,425,205,1027,53,209,403,240,110
Belarus,BLR,18.1,19.3,16.4,9902,144,348,7547,1530,332,104,2,4,80,16,4,58,1,2,44,9,2,209999,5060,9482,151687,35836,7933,2215,53,100,1600,378,84,1390,45,64,992,238,51,204575,4908,9400,151004,32596,6668,559,17,52,368,90,32,6,0,1,4,1,0,3,0,0,2,1,0,12587,588,1411,7685,2065,762,133,6,15,81,22,8,85,5,9,51,14,5
Belize,BLZ,21.2,20.9,21.2,88,20,4,39,16,8,24,5,1,11,4,2,47,10,2,21,9,5,2223,562,124,949,391,197,606,153,34,259,107,54,1023,224,56,456,188,99,2175,557,123,942,378,175,49,16,5,15,7,6,13,4,1,4,2,2,26,9,2,8,4,3,1294,463,131,370,179,136,353,126,36,101,49,37,578,184,59,174,84,68
Bolivia,BOL,20.2,23.3,18.4,3632,1116,46,1452,587,431,33,10,0,13,5,4,39,11,1,16,7,5,111560,44662,1158,38081,18765,8893,1025,410,11,350,172,82,1167,401,14,438,214,100,109774,44460,1136,37869,18273,8035,2824,1215,71,752,376,410,26,11,1,7,3,4,30,12,1,8,4,4,93412,49020,1794,20639,12470,8452,858,450,16,190,115,78,945,439,21,237,141,95
Brazil,BRA,11.5,11.8,9.5,51821,10356,2105,21489,10121,7750,25,5,1,10,5,4,24,5,1,10,5,4,1272420,237996,53807,567537,251934,161146,613,115,26,273,121,78,591,116,25,260,116,75,1237365,236326,53320,562118,241286,144316,14130,4760,1358,3328,1904,2780,7,2,1,2,1,1,7,2,1,2,1,1,348347,108782,34824,92321,49893,57549,168,52,17,44,24,28,163,53,16,42,23,27
Barbados,BRB,22.2,22.4,20.3,159,54,6,52,38,11,56,19,2,18,13,4,30,10,1,10,7,2,2923,886,130,1005,704,198,1026,311,46,353,247,69,638,197,29,219,152,41,2842,878,129,993,673,169,4,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,73,31,6,15,12,6,26,11,2,5,4,2,16,7,1,3,3,1
Brunei,BRN,5.8,5.8,5.8,36,2,1,21,7,4,9,1,0,5,2,1,13,1,1,7,3,2,1064,60,37,622,227,118,251,14,9,147,54,28,318,20,13,177,67,42,1006,59,36,619,208,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,35.3,35.4,35.3,375,60,7,169,57,81,47,8,1,21,7,10,67,10,1,30,10,16,13306,3035,234,5740,1845,2452,1668,380,29,720,231,307,2129,421,41,911,308,448,12720,3020,232,5717,1791,1959,415,82,13,156,61,103,52,10,2,20,8,13,75,13,2,27,11,20,15172,4123,426,5390,1959,3135,1902,517,53,676,246,393,2419,571,75,850,324,572
Botswana,BWA,21.2,20.9,21.3,601,188,6,207,116,85,27,8,0,9,5,4,52,14,1,19,11,8,18931,8289,197,5108,2918,2419,841,368,9,227,130,107,1282,428,14,405,233,201,18065,8254,191,5065,2793,1762,706,290,13,174,115,114,31,13,1,8,5,5,60,21,1,16,10,11,24058,12910,395,4377,2896,3248,1069,574,18,195,129,144,1556,664,29,344,229,271
Central African Republic,CAF,49.5,51.2,49,2826,1629,9,541,456,192,62,35,0,12,10,4,94,37,0,25,21,10,150490,116293,295,15176,13175,5551,3275,2531,6,330,287,121,3300,1832,13,648,558,249,148832,116144,281,15103,12891,4413,4891,2942,21,805,777,345,106,64,0,18,17,8,159,67,1,38,36,17,267599,210801,693,22308,21976,9907,5824,4588,15,486,478,216,5765,3307,29,957,933,445
Canada,CAN,6.5,6.7,5.3,5335,343,583,2794,701,915,15,1,2,8,2,3,7,0,1,4,1,1,98748,4723,12630,51531,13650,16214,272,13,35,142,38,45,152,7,20,82,20,23,92331,4643,12454,51036,10442,13757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,CHE,10.2,10.4,8.6,2121,180,205,1119,288,328,25,2,2,13,3,4,10,1,1,5,1,2,34747,2188,4610,16498,4918,6532,414,26,55,196,59,78,207,12,31,97,28,38,31528,2168,4550,16258,3856,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,21,23.1,17.8,4856,793,406,1769,1058,831,27,4,2,10,6,5,20,3,2,7,4,3,99916,12704,9227,40016,23662,14306,558,71,52,223,132,80,441,57,41,179,104,60,95275,12586,9136,39603,21281,12669,1597,375,260,366,255,341,9,2,1,2,1,2,6,1,1,2,1,1,32902,5953,5898,8628,5642,5848,184,33,33,48,32,33,145,27,26,39,25,24
China,CHN,49.2,51,35.7,1150296,56556,147243,357740,326974,261783,81,4,10,25,23,19,67,4,8,21,19,15,25824548,1524468,3388862,7606068,8084372,5220779,1830,108,240,539,573,370,1475,118,186,426,446,299,24237279,1505380,3349209,7555453,7400005,4427232,1033906,57973,185878,261824,265897,262334,73,4,13,19,19,19,60,4,11,15,15,16,23221602,1573815,4264289,5662949,6306608,5220188,1645,112,302,401,447,370,1330,123,234,317,348,299
Côte d'Ivoire,CIV,23.7,23.9,23.5,12614,6155,28,3569,2121,740,53,26,0,15,9,3,103,37,0,37,20,8,604468,393197,893,111933,74294,24150,2551,1659,4,472,314,102,3232,1459,8,955,591,219,599436,392844,878,111614,73216,20883,26364,15025,96,5583,4025,1635,111,63,0,24,17,7,205,90,1,57,38,18,1342069,965632,2999,174727,139755,53254,5664,4075,13,737,590,225,6728,3555,26,1494,1108,483
Cameroon,CMR,65.3,65.4,65.1,14430,8777,53,2584,1937,1079,62,37,0,11,8,5,110,52,0,27,19,12,704741,539446,2086,72455,59475,31279,3007,2301,9,309,254,133,3461,1988,17,648,514,294,697215,538773,2034,72068,58086,26255,18666,11749,88,2938,2443,1449,80,50,0,13,10,6,141,70,1,30,24,16,930459,725335,3465,82298,73864,41713,3970,3095,15,351,315,178,4493,2657,28,736,638,392
Congo (Democratic Republic),COD,37.6,37.4,37.8,31554,19632,79,5351,4425,2068,40,25,0,7,6,3,67,27,0,18,15,7,1774491,1443117,2458,146214,123880,58823,2254,1833,3,186,157,75,2179,1223,7,417,352,181,1756675,1441297,2365,145400,120854,46759,61598,40620,219,8415,8161,4183,78,52,0,11,10,5,125,55,1,28,27,15,3583061,2994298,6869,227351,223658,118103,4551,3803,9,289,284,150,4241,2526,19,652,637,363
Congo,COG,38.7,36.4,41.4,1671,781,7,455,283,145,33,15,0,9,6,3,60,20,0,20,12,7,71942,47576,214,11939,7951,4262,1404,928,4,233,155,83,1729,780,8,464,302,175,70457,47484,205,11869,7692,3207,2645,1361,17,592,426,249,52,27,0,12,8,5,92,35,1,26,18,12,119034,83295,495,15526,11795,7305,2322,1625,10,303,230,143,2756,1359,19,603,447,300
Cook Islands,COK,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,15.2,17.2,13.4,12668,1585,616,6771,2013,1682,26,3,1,14,4,3,28,4,1,15,4,4,307228,48866,15484,161035,51603,30239,631,100,32,331,106,62,656,107,33,339,108,68,298585,48636,15380,159986,49663,24919,4672,990,533,1662,611,875,10,2,1,3,1,2,10,2,1,4,1,2,119883,30600,13394,41448,16355,15258,246,63,28,85,34,31,257,67,28,87,34,35
Comoros,COM,18.6,18.6,18.4,236,116,1,71,35,14,30,15,0,9,4,2,57,20,0,21,10,5,10965,7351,30,2111,1049,423,1378,924,4,265,132,53,1722,808,7,525,263,119,10831,7339,30,2099,1025,339,606,357,4,129,78,38,76,45,1,16,10,5,138,62,1,39,23,13,30466,22814,129,3817,2324,1126,3829,2868,16,480,292,142,4459,2495,31,955,582,316
Cabo Verde,CPV,32,31.6,33.6,222,70,1,94,37,20,41,13,0,17,7,4,61,18,0,27,10,5,5095,1919,46,1851,832,447,944,356,8,343,154,83,1360,444,12,541,235,128,4932,1910,44,1838,794,345,180,74,2,58,26,20,33,14,0,11,5,4,49,19,1,16,7,5,4387,2042,64,1159,592,443,813,379,12,215,110,82,1144,470,17,338,167,127
Costa Rica,CRI,15.9,16.7,12.6,1040,108,35,539,168,190,21,2,1,11,3,4,19,2,1,10,3,3,22435,2590,782,12414,3599,3050,462,53,16,256,74,63,417,51,15,230,66,55,21527,2553,774,12281,3384,2536,307,55,24,106,39,82,6,1,1,2,1,2,5,1,0,2,1,1,6750,1330,545,2563,870,1304,139,27,11,53,18,27,126,26,10,48,16,23
Cuba,CUB,18.4,21.6,15.8,6246,1105,608,2716,982,834,54,10,5,24,9,7,30,5,3,13,5,4,124028,17830,14280,55410,20266,16241,1081,155,124,483,177,142,680,102,80,303,110,85,120525,17682,14141,54896,19202,14604,4694,1129,856,1380,589,740,41,10,7,12,5,6,23,5,4,7,3,3,94926,18178,20134,28604,12201,14450,827,158,175,249,106,126,523,104,113,157,67,76
Cyprus,CYP,16.8,17.1,15.9,382,20,37,198,56,71,33,2,3,17,5,6,20,1,2,11,3,3,7043,262,859,3900,938,1085,602,22,73,333,80,93,416,15,52,239,53,57,6737,259,851,3867,824,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,15.1,15.6,13.6,6263,523,515,3760,851,614,59,5,5,35,8,6,27,2,2,16,4,3,115537,9054,12079,64813,16158,13433,1089,85,114,611,152,127,575,51,61,319,78,66,109787,8971,11937,64026,13498,11354,635,97,127,253,67,91,6,1,1,2,1,1,3,0,1,1,0,0,12386,1653,2963,4526,1184,1962,117,16,28,43,11,18,63,9,15,23,6,10
Germany,DEU,11.7,11.9,10.5,37085,2595,3346,20131,4857,6156,45,3,4,25,6,8,16,1,2,9,2,3,626663,36310,76614,314094,84682,114963,765,44,94,383,103,140,342,19,48,170,45,60,588242,35923,75539,310730,70542,95508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,40.4,41,40.1,407,188,4,124,66,27,43,20,0,13,7,3,70,28,1,24,12,6,16614,10070,113,3613,1993,824,1763,1069,12,383,211,87,2186,1105,18,590,325,148,16316,10044,112,3590,1942,628,682,343,9,175,107,47,72,36,1,19,11,5,117,51,2,34,20,10,28744,18505,282,5081,3201,1438,3050,1964,30,539,340,153,3734,2027,46,833,522,258
Dominica,DMA,18.2,18.8,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,DNK,10.1,10.3,9.5,1734,205,238,555,272,465,30,4,4,10,5,8,13,1,2,4,2,3,30457,2524,5060,9710,4865,8299,533,44,89,170,85,145,271,21,47,91,44,69,28344,2500,4992,9523,4147,7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,12.9,13.3,11.3,2989,311,98,1801,619,160,28,3,1,17,6,2,32,3,1,19,7,2,84822,14655,2417,47323,16754,3672,797,138,23,444,157,34,890,133,27,510,181,40,83417,14558,2399,47090,16257,3113,1264,257,113,555,234,106,12,2,1,5,2,1,13,2,1,6,3,1,39915,12225,2792,15372,6610,2426,375,115,26,144,62,23,409,111,31,165,71,26
Algeria,DZA,35.2,34.5,37.6,14192,2396,537,7904,2327,1028,35,6,1,19,6,3,43,6,2,25,7,3,400700,112818,16290,185159,57173,29259,987,278,40,456,141,72,1117,249,49,558,172,89,383979,111951,16206,183540,52609,19673,2688,613,166,1250,416,242,7,2,0,3,1,1,8,2,1,4,1,1,83676,29147,5051,30255,10117,6898,206,72,12,75,25,17,228,64,15,91,30,21
Ecuador,ECU,14.9,15.5,14.1,3030,743,85,1181,549,472,18,5,1,7,3,3,20,5,1,8,4,3,74757,23459,1982,27900,13715,7702,456,143,12,170,84,47,494,143,14,191,94,53,72863,23346,1961,27590,13149,6817,729,282,45,166,94,143,4,2,0,1,1,1,5,2,0,1,1,1,19424,8957,1055,4176,2481,2312,119,55,6,25,15,14,126,54,7,29,17,16
Egypt,EGY,79.3,79.6,69.4,67434,8877,1504,39024,11910,6118,70,9,2,41,12,6,105,11,2,62,19,10,2068658,460343,44693,1063964,323580,176078,2162,481,47,1112,338,184,2812,448,64,1556,478,266,2014700,456782,44350,1059301,308801,145464,3578,601,115,1855,606,401,4,1,0,2,1,0,5,1,0,3,1,1,118049,31533,3430,52263,16435,11448,123,33,4,55,17,12,157,30,5,76,24,17
Eritrea,ERI,42.4,41.1,42.9,2129,1052,13,482,393,188,43,21,0,10,8,4,80,31,1,22,18,9,90060,60092,463,13268,11022,5215,1818,1213,9,268,222,105,2384,1146,18,542,455,223,88834,59955,458,13187,10827,4407,3402,1806,31,646,608,310,69,36,1,13,12,6,125,53,1,29,27,15,149072,103729,1069,17703,16842,8596,3009,2094,22,357,340,174,3847,1966,42,725,696,368
Spain,ESP,9.5,9.8,8.3,12574,1138,1212,5226,2156,2841,27,2,3,11,5,6,10,1,1,4,2,2,201061,13845,28240,85271,33891,39813,434,30,61,184,73,86,208,13,35,92,33,36,191473,13744,27910,84049,29640,36130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,6.7,7,6.2,565,15,23,447,60,20,43,1,2,34,5,1,18,1,1,14,2,1,9963,334,513,7425,1285,406,759,25,39,566,98,31,390,17,21,285,52,15,9596,327,508,7377,1044,340,238,20,44,134,22,17,18,2,3,10,2,1,8,1,2,4,1,1,4578,434,989,2298,455,351,349,33,75,175,35,27,188,21,41,91,20,13
Ethiopia,ETH,34.4,34,34.9,32905,16781,289,8616,4797,2422,32,16,0,8,5,2,58,22,1,19,11,6,1495831,1049564,9936,232917,134859,68555,1461,1025,10,227,132,67,1767,882,19,457,266,144,1471885,1047356,9847,231315,129913,53455,64735,36144,864,13776,9025,4927,63,35,1,13,9,5,111,46,2,31,20,12,3115768,2270060,29754,368618,246921,139491,3043,2217,29,360,241,136,3598,1898,57,727,488,292
