variable,decription
t.ap.yll.2016.tblc,"Ambient air pollution attributable YLLs from trachea, bronchus, lung cancers 2016"
t.ap.yll.2016.ihd,Ambient air pollution attributable YLLs from ischaemic heart disease 2016
t.ap.yll.2016.stroke,Ambient air pollution attributable YLLs from stroke 2016
t.ap.yll.2016.copd,Ambient air pollution attributable YLLs from chronic obstructive pulmonary disease 2016
t.hap.d.2016.total,Household air pollution (from solid fuel used for cooking) attributable deaths total 2016
t.hap.d.2016.lri,Household air pollution attributable deaths from lower respiratory infections 2016
t.hap.d.2016.tblc,"Household air pollution attributable deaths from trachea, bronchus, lung cancers 2016"
t.hap.d.2016.ihd,Household air pollution attributable deaths from ischaemic heart disease 2016
t.hap.d.2016.stroke,Household air pollution attributable deaths from stroke 2016
t.hap.d.2016.copd,Household air pollution attributable deaths from chronic obstructive pulmonary disease 2016
hap.d.100k.2016.total,Household air pollution attributable death rate (per 100 000 population) total 2016
hap.d.100k.2016.lri,Household air pollution attributable death rate (per 100 000 population) lower respiratory infections 2016
hap.d.100k.2016.tblc,"Household air pollution attributable death rate (per 100 000 population) trachea, bronchus, lung cancers 2016"
hap.d.100k.2016.ihd,Household air pollution attributable death rate (per 100 000 population) ischaemic heart disease 2016
hap.d.100k.2016.stroke,Household air pollution attributable death rate (per 100 000 population) stroke 2016
hap.d.100k.2016.copd,Household air pollution attributable death rate (per 100 000 population) chronic obstructive pulmonary disease 2016
hap.d.100k.as.2016.total,"Household air pollution attributable death rate (per 100 000 population, age-standardized) total 2016"
hap.d.100k.as.2016.lri,"Household air pollution attributable death rate (per 100 000 population, age-standardized) lower respiratory infections 2016"
hap.d.100k.as.2016.tblc,"Household air pollution attributable death rate (per 100 000 population, age-standardized) trachea, bronchus, lung cancers 2016"
hap.d.100k.as.2016.ihd,"Household air pollution attributable death rate (per 100 000 population, age-standardized) ischaemic heart disease 2016"
hap.d.100k.as.2016.stroke,"Household air pollution attributable death rate (per 100 000 population, age-standardized) stroke 2016"
hap.d.100k.as.2016.copd,"Household air pollution attributable death rate (per 100 000 population, age-standardized) chronic obstructive pulmonary disease 2016"
t.hap.dal.2016.total,Household air pollution attributable DALYs total 2016
t.hap.dal.2016.lri,Household air pollution attributable DALYs from lower respiratory infections 2016
t.hap.dal.2016.tblc,"Household air pollution attributable DALYs from trachea, bronchus, lung cancers 2016"
t.hap.dal.2016.ihd,Household air pollution attributable DALYs from ischaemic heart disease 2016
t.hap.dal.2016.stroke,Household air pollution attributable DALYs from stroke 2016
t.hap.dal.2016.copd,Household air pollution attributable DALYs from chronic obstructive pulmonary disease 2016
hap.dal.100k.2016.total,Household air pollution attributable DALYs rate (per 100 000 population) total 2016
hap.dal.100k.2016.lri,Household air pollution attributable DALYs rate (per 100 000 population) lower respiratory infections 2016
hap.dal.100k.2016.tblc,"Household air pollution attributable DALYs rate (per 100 000 population) trachea, bronchus, lung cancers 2016"
hap.dal.100k.2016.ihd,Household air pollution attributable DALYs rate (per 100 000 population) ischaemic heart disease 2016
hap.dal.100k.2016.stroke,Household air pollution attributable DALYs rate (per 100 000 population) stroke 2016
hap.dal.100k.2016.copd,Household air pollution attributable DALYs rate (per 100 000 population) chronic obstructive pulmonary disease 2016
hap.dal.100k.as.2016.total,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) total 2016"
hap.dal.100k.as.2016.lri,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) lower respiratory infections 2016"
hap.dal.100k.as.2016.tblc,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) trachea, bronchus, lung cancers 2016"
hap.dal.100k.as.2016.ihd,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) ischaemic heart disease 2016"
hap.dal.100k.as.2016.stroke,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) stroke 2016"
hap.dal.100k.as.2016.copd,"Household air pollution attributable DALYs rate (per 100 000 population, age-standardized) chronic obstructive pulmonary disease 2016"
