"country","countryiso3","latest.year_SP.DYN.LE00.IN","latest.value_SP.DYN.LE00.IN"
"Other small states","OSS",2018,68.5469317038401
"Pacific island small states","PSS",2018,69.929057966298
"Pakistan","PAK",2018,67.114
"Palau","PLW",NA,NA
"Panama","PAN",2018,78.329
"Papua New Guinea","PNG",2018,64.263
"Paraguay","PRY",2018,74.131
"Peru","PER",2018,76.516
"Philippines","PHL",2018,71.095
"Poland","POL",2018,77.6024390243903
"Portugal","PRT",2018,81.3243902439024
"Post-demographic dividend","PST",2018,80.6598920018751
"Pre-demographic dividend","PRE",2018,60.8209562953764
"Puerto Rico","PRI",2018,79.7781951219512
"Qatar","QAT",2018,80.1
"Romania","ROU",2018,75.3585365853659
"Russian Federation","RUS",2018,72.6573170731707
"Rwanda","RWA",2018,68.7
"Samoa","WSM",2018,73.187
"San Marino","SMR",NA,NA
"Sao Tome and Principe","STP",2018,70.17
"Saudi Arabia","SAU",2018,74.998
"Senegal","SEN",2018,67.665
"Serbia","SRB",2018,75.890243902439
"Seychelles","SYC",2018,72.8414634146341
"Sierra Leone","SLE",2018,54.309
"Singapore","SGP",2018,83.1463414634146
"Sint Maarten (Dutch part)","SXM",2016,78.2926829268293
"Slovak Republic","SVK",2018,77.2658536585366
"Slovenia","SVN",2018,81.3780487804878
"Small states","SST",2018,69.5411326605455
"Solomon Islands","SLB",2018,72.835
"Somalia","SOM",2018,57.068
"South Africa","ZAF",2018,63.857
"South Asia","SAS",2018,69.4122476461494
"South Asia (IDA & IBRD)","TSA",2018,69.4122476461494
"South Sudan","SSD",2018,57.604
"Spain","ESP",2018,83.4317073170732
"Sri Lanka","LKA",2018,76.812
"St. Kitts and Nevis","KNA",NA,NA
"St. Lucia","LCA",2018,76.057
"St. Martin (French part)","MAF",2018,79.8707317073171
"St. Vincent and the Grenadines","VCT",2018,72.415
"Sub-Saharan Africa","SSF",2018,61.2730146485793
"Sub-Saharan Africa (excluding high income)","SSA",2018,61.2565331327445
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,61.2730146485793
"Sudan","SDN",2018,65.095
"Suriname","SUR",2018,71.57
"Sweden","SWE",2018,82.5585365853659
"Switzerland","CHE",2018,83.7536585365854
"Syrian Arab Republic","SYR",2018,71.779
"Tajikistan","TJK",2018,70.879
"Tanzania","TZA",2018,65.015
"Thailand","THA",2018,76.931
"Timor-Leste","TLS",2018,69.26
"Togo","TGO",2018,60.76
"Tonga","TON",2018,70.801
"Trinidad and Tobago","TTO",2018,73.38
"Tunisia","TUN",2018,76.505
"Turkey","TUR",2018,77.437
"Turkmenistan","TKM",2018,68.073
"Uganda","UGA",2018,62.973
"Ukraine","UKR",2018,71.5826829268293
"United Arab Emirates","ARE",2018,77.814
"United Kingdom","GBR",2018,81.2560975609756
"United States","USA",2018,78.5390243902439
"Upper middle income","UMC",2018,75.3289772104353
"Uruguay","URY",2018,77.77
"Uzbekistan","UZB",2018,71.573
"Vanuatu","VUT",2018,70.323
"Venezuela, RB","VEN",2018,72.128
"Vietnam","VNM",2018,75.317
"Virgin Islands (U.S.)","VIR",2018,79.5682926829268
"West Bank and Gaza","PSE",2018,73.895
"World","WLD",2018,72.5632744812844
"Yemen, Rep.","YEM",2018,66.096
"Zambia","ZMB",2018,63.51
"Zimbabwe","ZWE",2018,61.195
