"country","countryiso3","latest.year_SI.POV.DDAY","latest.value_SI.POV.DDAY"
"Ukraine","UKR",2018,0
"United Arab Emirates","ARE",2014,0
"United Kingdom","GBR",2016,0.2
"United States","USA",2016,1.2
"Upper middle income","UMC",2018,1.8
"Uruguay","URY",2018,0.1
"Uzbekistan","UZB",NA,NA
"Vanuatu","VUT",NA,NA
"Venezuela, RB","VEN",NA,NA
"Vietnam","VNM",2018,1.9
"West Bank and Gaza","PSE",2016,1
"World","WLD",2015,10
"Yemen, Rep.","YEM",2014,18.8
"Zambia","ZMB",2015,57.5
"Zimbabwe","ZWE",2017,33.9
