"country","countryiso3","latest.year_SE.XPD.TERT.PC.ZS","latest.value_SE.XPD.TERT.PC.ZS"
"Low income","LIC",NA,NA
"Luxembourg","LUX",2015,42.75533
"Macao SAR, China","MAC",2017,19.0542
"Madagascar","MDG",2016,0.03809
"Malawi","MWI",NA,NA
"Malaysia","MYS",2018,23.75401
"Maldives","MDV",2014,31.87037
"Mali","MLI",2017,166.91975
"Malta","MLT",2015,44.39611
"Marshall Islands","MHL",NA,NA
"Mauritania","MRT",2016,95.78092
"Mauritius","MUS",2017,9.57631
"Mexico","MEX",2016,29.65754
"Middle income","MIC",2013,29.81738
"Moldova","MDA",2018,26.64596
"Mongolia","MNG",2017,5.18859
"Morocco","MAR",NA,NA
"Mozambique","MOZ",2013,165.60055
"Myanmar","MMR",2018,16.6916
"Namibia","NAM",2014,76.01238
"Nepal","NPL",2015,24.16269
"Netherlands","NLD",2016,35.77867
"New Zealand","NZL",2016,25.25573
"Niger","NER",2017,275.24802
"North America","NAC",2016,25.434805
"North Macedonia","MKD",NA,NA
"Norway","NOR",2016,39.82164
"OECD members","OED",2016,25.409775
"Oman","OMN",2016,43.55851
"Other small states","OSS",NA,NA
"Pakistan","PAK",2017,67.23956
"Palau","PLW",NA,NA
"Panama","PAN",NA,NA
"Paraguay","PRY",NA,NA
"Peru","PER",2017,10.88362
"Philippines","PHL",NA,NA
"Poland","POL",2016,25.41068
"Portugal","PRT",2015,26.90651
"Post-demographic dividend","PST",2016,25.3323
"Pre-demographic dividend","PRE",NA,NA
"Puerto Rico","PRI",2014,33.27516
"Romania","ROU",2016,26.09842
"Russian Federation","RUS",2016,19.82112
"Rwanda","RWA",2018,97.65851
"Samoa","WSM",NA,NA
"San Marino","SMR",NA,NA
"Sao Tome and Principe","STP",2014,41.93097
"Saudi Arabia","SAU",NA,NA
"Senegal","SEN",2018,131.01343
"Serbia","SRB",2017,29.78442
"Seychelles","SYC",2016,70.70674
"Singapore","SGP",2017,23.54145
"Slovak Republic","SVK",2016,27.60007
"Slovenia","SVN",2016,24.3256
"Small states","SST",NA,NA
"South Africa","ZAF",2018,47.9767
"South Asia","SAS",2016,30.52166
"South Asia (IDA & IBRD)","TSA",2016,30.52166
"Spain","ESP",2016,21.81691
"Sri Lanka","LKA",2018,31.55806
"St. Kitts and Nevis","KNA",2015,5.84161
"St. Lucia","LCA",2018,0
"Sweden","SWE",2016,43.24651
"Switzerland","CHE",2016,37.4052
"Syrian Arab Republic","SYR",NA,NA
"Tajikistan","TJK",2015,19.56957
"Tanzania","TZA",NA,NA
"Thailand","THA",2013,18.17357
"Timor-Leste","TLS",NA,NA
"Togo","TGO",2017,77.17135
"Tonga","TON",NA,NA
"Tunisia","TUN",2015,54.74251
"Turkey","TUR",2016,35.28416
"Turks and Caicos Islands","TCA",2015,87.56158
"Uganda","UGA",NA,NA
"Ukraine","UKR",2017,34.46536
"United Arab Emirates","ARE",NA,NA
"United Kingdom","GBR",2016,37.99046
"United States","USA",2016,19.42953
"Upper middle income","UMC",2013,19.07659
"Uruguay","URY",2017,25.38864
"Vanuatu","VUT",NA,NA
"Venezuela, RB","VEN",NA,NA
"Vietnam","VNM",2013,34.21589
"World","WLD",2013,29.65255
"Zimbabwe","ZWE",2013,161.41752
