"country","countryiso3","SE.XPD.TOTL.GD.ZS_2013","SE.XPD.TOTL.GD.ZS_2014","SE.XPD.TOTL.GD.ZS_2015","SE.XPD.TOTL.GD.ZS_2016","SE.XPD.TOTL.GD.ZS_2017","SE.XPD.TOTL.GD.ZS_2018"
"IDA total","IDA",3.45446,4.00511,4.355175,3.99469,4.05887,4.03814
"India","IND",3.84467,NA,NA,NA,NA,NA
"Indonesia","IDN",3.35904,3.28801,3.5836,NA,NA,NA
"Iran, Islamic Rep.","IRN",3.06795,2.80135,2.79739,3.36576,3.7904,3.95536
"Iraq","IRQ",NA,NA,NA,NA,NA,NA
"Ireland","IRL",5.33461,4.88139,3.75829,3.71973,NA,NA
"Israel","ISR",5.87925,5.78425,5.85445,5.8493,NA,NA
"Italy","ITA",4.16472,4.07525,4.08169,3.82926,NA,NA
"Jamaica","JAM",6.25108,6.01654,5.45576,5.31548,5.26013,5.40731
"Japan","JPN",3.66538,3.59059,NA,3.18618,NA,NA
"Jordan","JOR",NA,NA,NA,3.84229,3.54298,3.58851
"Kazakhstan","KAZ",NA,NA,2.78858,2.9781,2.817,2.75095
"Kenya","KEN",5.41138,5.28021,5.27134,5.36267,5.36668,5.32024
"Kiribati","KIR",NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,4.59437,NA,NA
"Kuwait","KWT",NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",6.7802,5.5316,5.98551,6.58615,6.02619,NA
"Lao PDR","LAO",3.23381,2.93781,NA,NA,NA,NA
"Late-demographic dividend","LTE",4.910925,4.895285,4.72394,4.55826,NA,NA
"Latin America & Caribbean","LCN",5.00464,5.26062,4.937005,4.47721,NA,NA
"Latin America & Caribbean (excluding high income)","LAC",5.00464,5.26062,4.9987,4.08115,4.33953,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",4.94319,4.995785,4.937005,4.47721,4.53688,NA
"Latvia","LVA",6.98544,5.28294,5.33721,4.71957,NA,NA
"Least developed countries: UN classification","LDC",3.0856,3.38488,3.80152,3.53979,3.909085,4.03814
"Lebanon","LBN",2.43467,NA,NA,NA,NA,NA
"Lesotho","LSO",NA,NA,NA,NA,7.42175,6.51166
"Liberia","LBR",1.73466,2.2791,NA,NA,2.76128,2.58412
"Libya","LBY",NA,NA,NA,NA,NA,NA
"Liechtenstein","LIE",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",4.61284,4.48818,4.21723,4.00847,NA,NA
"Low & middle income","LMY",3.96076,4.050245,4.35392,3.97839,4.0451,NA
"Low income","LIC",3.066755,3.336195,3.75146,3.146605,3.54273,3.23481
"Lower middle income","LMC",4.57721,4.406475,NA,4.46391,4.582105,4.08329
"Luxembourg","LUX",NA,4.00789,3.95519,NA,NA,NA
"Macao SAR, China","MAC",2.04986,2.03206,2.9817,3.08232,2.70008,NA
"Madagascar","MDG",2.08231,2.79384,2.56821,3.19717,NA,3.23481
"Malawi","MWI",5.41617,4.83984,5.60866,4.74857,4.03133,4.71484
"Malaysia","MYS",5.4812,5.21264,4.97274,4.82401,4.74071,4.53477
"Maldives","MDV",3.80012,3.47046,4.36655,4.06728,NA,NA
"Mali","MLI",3.2828,3.64819,3.80152,3.09604,3.78684,NA
"Malta","MLT",7.8751,7.20856,5.20455,NA,NA,NA
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",2.93739,NA,NA,2.63107,NA,NA
"Mauritius","MUS",3.61579,4.91695,4.88667,5.0136,5.02313,4.83459
"Mexico","MEX",4.69605,5.26062,5.23524,4.90983,NA,NA
"Micronesia, Fed. Sts.","FSM",NA,NA,12.4595,NA,NA,NA
"Middle East & North Africa","MEA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (excluding high income)","MNA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA,NA,NA,NA,NA
"Middle income","MIC",4.33567,4.406475,NA,4.21298,4.43051,NA
"Moldova","MDA",NA,6.26602,NA,5.60845,5.61844,5.51108
"Monaco","MCO",1.3344,1.02195,NA,1.37102,1.46121,NA
"Mongolia","MNG",4.94077,4.71485,4.17699,5.18061,4.08578,NA
"Morocco","MAR",NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",6.48009,NA,NA,6.42486,5.75237,5.59847
"Myanmar","MMR",NA,NA,NA,NA,2.16463,1.9726
"Namibia","NAM",NA,3.10315,NA,NA,NA,NA
"Nepal","NPL",3.47465,3.99302,3.70359,4.44099,5.51837,5.16365
"Netherlands","NLD",5.52656,5.4589,5.34816,5.4796,NA,NA
"New Zealand","NZL",6.70205,6.3465,6.34016,6.44277,NA,NA
"Nicaragua","NIC",NA,4.08329,4.07843,4.08115,4.33953,NA
"Niger","NER",4.91844,6.72771,6.01732,4.08372,3.54273,4.9198
"Nigeria","NGA",NA,NA,NA,NA,NA,NA
"North America","NAC",4.93105,4.96174,NA,NA,NA,NA
"North Macedonia","MKD",NA,NA,NA,NA,NA,NA
"Norway","NOR",7.47476,7.68074,7.55247,7.9761,NA,NA
"OECD members","OED",5.13511,5.14401,5.13904,5.011575,NA,NA
"Oman","OMN",4.97011,NA,NA,NA,NA,NA
"Other small states","OSS",3.02971,3.35425,NA,NA,NA,NA
"Pakistan","PAK",2.49344,2.46593,2.65002,3.00292,2.89952,NA
"Palau","PLW",NA,NA,NA,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA
"Papua New Guinea","PNG",NA,NA,NA,NA,2.00594,1.9264
"Paraguay","PRY",NA,NA,NA,3.43834,NA,NA
"Peru","PER",3.29729,3.69242,3.9703,3.81294,3.93676,3.71993
"Philippines","PHL",NA,NA,NA,NA,NA,NA
"Poland","POL",4.94011,4.90918,4.81231,4.63931,NA,NA
"Portugal","PRT",5.27787,5.12325,4.88294,NA,NA,NA
"Post-demographic dividend","PST",5.04048,5.14401,5.206265,5.06155,NA,NA
"Pre-demographic dividend","PRE",2.93739,3.64819,4.35392,3.871305,4.24469,4.2483
"Puerto Rico","PRI",6.48108,6.07266,NA,NA,NA,NA
"Qatar","QAT",4.07384,3.60535,NA,NA,2.86383,NA
"Romania","ROU",NA,3.12642,3.10676,2.97411,NA,NA
"Russian Federation","RUS",3.75621,4.01244,3.83372,3.74303,NA,NA
"Rwanda","RWA",4.94894,4.30547,3.75146,3.53979,3.2057,3.11334
"Samoa","WSM",NA,NA,NA,4.08047,NA,NA
"San Marino","SMR",NA,NA,NA,NA,3.14704,NA
"Sao Tome and Principe","STP",5.93969,3.74883,3.8645,5.17307,5.08416,5.14907
"Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA
"Senegal","SEN",5.6725,5.72023,5.45635,5.11309,4.59492,4.65201
"Serbia","SRB",NA,3.92698,3.78902,3.64027,3.71509,NA
"Seychelles","SYC",3.60813,4.08368,NA,4.41832,NA,NA
"Sierra Leone","SLE",2.37981,2.66292,NA,3.06023,4.63577,7.13846
"Singapore","SGP",2.85435,NA,NA,NA,NA,NA
"Slovak Republic","SVK",4.08666,4.23068,4.63557,3.90267,NA,NA
"Slovenia","SVN",5.43782,5.29607,4.90818,4.80289,NA,NA
"Small states","SST",3.32275,3.60535,NA,NA,NA,NA
"Solomon Islands","SLB",NA,NA,NA,NA,NA,NA
"Somalia","SOM",NA,NA,NA,NA,NA,NA
"South Africa","ZAF",6.01354,6.04662,5.95619,5.94285,6.11306,6.15899
"South Asia","SAS",2.97395,3.080575,2.95291,3.4492,2.89952,2.11189
"South Asia (IDA & IBRD)","TSA",2.97395,3.080575,2.95291,3.4492,2.89952,2.11189
"South Sudan","SSD",1.1789,1.71297,1.54062,1.49691,0.98104,NA
"Spain","ESP",4.32834,4.2799,4.27239,4.20911,NA,NA
"Sri Lanka","LKA",1.62107,1.93288,2.22875,3.4492,2.78044,2.11189
"St. Kitts and Nevis","KNA",NA,NA,2.60631,NA,NA,NA
"St. Lucia","LCA",4.30887,4.36196,4.40116,5.73883,NA,3.67959
"St. Vincent and the Grenadines","VCT",NA,NA,NA,5.76068,5.78273,5.68122
"Sub-Saharan Africa","SSF",4.01972,4.3133,4.53618,3.871305,4.512715,4.60449
"Sub-Saharan Africa (excluding high income)","SSA",4.42365,4.30547,4.51089,3.74792,4.43051,4.486325
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",4.01972,4.3133,4.53618,3.871305,4.512715,4.60449
"Sudan","SDN",NA,NA,NA,NA,NA,NA
"Sweden","SWE",7.70949,7.67329,7.5483,7.66993,NA,NA
"Switzerland","CHE",5.04048,5.05123,5.10057,5.11332,NA,NA
"Syrian Arab Republic","SYR",NA,NA,NA,NA,NA,NA
"Tajikistan","TJK",NA,NA,5.23139,NA,NA,NA
"Tanzania","TZA",NA,3.38488,NA,NA,4.43051,3.69644
"Thailand","THA",4.12402,NA,NA,NA,NA,NA
"Timor-Leste","TLS",1.40282,2.69129,4.35392,5.3262,4.56929,4.12844
"Togo","TGO",4.42365,4.78455,5.1086,5.03305,5.03392,5.42885
"Tonga","TON",NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO",NA,NA,NA,NA,NA,NA
"Tunisia","TUN",NA,NA,6.59921,NA,NA,NA
"Turkey","TUR",NA,NA,NA,NA,NA,NA
"Turkmenistan","TKM",NA,NA,NA,NA,NA,NA
"Turks and Caicos Islands","TCA",NA,NA,3.15745,NA,NA,2.91435
"Tuvalu","TUV",NA,NA,NA,NA,NA,NA
"Uganda","UGA",2.20876,2.25068,2.77376,2.55882,2.72713,2.52076
"Ukraine","UKR",6.67166,5.87494,NA,5.00978,5.41226,NA
"United Kingdom","GBR",5.58823,5.66499,5.60939,5.48697,NA,NA
"United States","USA",4.93105,4.96174,NA,NA,NA,NA
"Upper middle income","UMC",4.100435,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,4.7591,4.8403,NA
"Uzbekistan","UZB",7.28354,6.02527,5.78638,5.66773,5.28134,NA
"Vanuatu","VUT",NA,4.91083,5.54987,NA,4.69537,NA
"Venezuela, RB","VEN",NA,NA,NA,NA,NA,NA
"Vietnam","VNM",5.652,NA,NA,4.34481,NA,4.17277
"West Bank and Gaza","PSE",5.3025,NA,5.14136,5.71773,5.25234,NA
"World","WLD",4.59384,4.62946,4.73792,4.48683,NA,NA
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA
"Zambia","ZMB",NA,NA,4.62432,3.74792,3.72965,4.66738
"Zimbabwe","ZWE",5.99598,6.13835,NA,NA,5.62184,4.60449
